연구보고서,저자,발행년도
인터넷광고가 방송광고에 미치는 영향에 대한 연구,여송필,2008
방송통신융합시대 지상파방송 규제체계 개선 방안 연구 ,정두남,2008
라디오 가청취권역에 관한 연구,박원기,2008
다매체 동시이용 패턴에 따른 광고효과 측정시스템의 구축을 위한 선행연구 ,이귀옥,2008
미래의 광고동향과 미디어 플랫폼간 교차광고 활성화 방안연구 ,김해룡,2008
광고산업이 미디어산업 내 다른 유관산업의 부가가치 창출에 미치는 영향 연구 ,유승훈,2008
광고산업 진흥에 기여하는 한국방송광고공사의 공익사업 영역별 가치 측정 연구 ,한상필,2008
방통융합시대 방송진흥정책 방향에 관한 현업인 의식조사 연구,성숙희,2008
모바일 산업의 현황과 전망 -모바일 광고 마케팅 중심으로- ,정두남,2008
IP 기반의 콘텐츠 플랫폼 설계 및 요소기술에 관한 연구 ,차준섭,2008
소비자 행태 조사 2008 ,한국방송광고공사,2008
(다시생각해보는) 라디오의 위력과 공익광고 ,한국방송광고공사,2008
방송통신융합의 이념과 정책목표 재정립 연구:공공성과 산업성의 균형화 방안 ,한국방송광고공사,2008
수용자 지향적인 광고홍보 교육 전략에 관한 연구 ,한국방송광고공사,2008
인터넷 검색광고의 구조적 특징 및 합리적 요금체계 구축방안 ,한국방송광고공사,2008
우리나라 광고 산업 전반의 이해를 위한 소비자 매체 이용 행태 분석과 제품 구매 행태의 연결망 분석 ,한국방송광고공사,2008
방송통신융합시대 IPTV가 국민경제 및 광고산업에 미치는 파급효과 분석 ,한국방송광고공사,2008
광고회사 인력구조 변화와 개선방안 ,한국방송광고공사,2008
심리생리학적 지표(psychophysiological measure)를 이용한 광고효과 측정에 관한 연구 ,한국방송광고공사,2008
방송통신 융합 환경에 따른 멀티플랫폼 수용자의 콘텐츠 이용행태에 대한 연구 ,한국방송광고공사,2008
방송통신융합시대의 국내 지상파방송사 경쟁력 강화방안연구: 법과 제도적 관점 ,한국방송광고공사,2008
매체별 광고비 장기전망에 관한 연구,김국진,2009
광고진흥사업 성과 평가에 관한 연구,이종민,2009
국가브랜드 자산 평가 모델에 관한 연구 ,김유경,2009
PPL(Product placement) 도입효과에 관한 연구 ,최현철,2009
지상파TV 30초 광고 기준초수 도입방안 연구 ,한은경,2009
방송법 개정에 따른 방송시장 구조변화 예측 연구,정두남,2009
디지털 전환이 매체환경과 광고산업에 미치는 영향 연구,여송필,2009
2010년 방송광고비 예측에 관한 연구,박원기,2009
영상.광고.콘텐츠 전문인력 양성사업의 평가와 발전방향 연구,김동욱,2009
방송콘텐츠 수출확대 및 신규시장 개척을 위한 정책방안 연구,정윤경,2009
방송콘텐츠 활성화를 위한 채널브랜드 전략 연구,황근,2009
방송통신통합 법체계에서 콘텐츠규제 연구,최세경,2009
매체경쟁시대의 방송프로그램 프로모션 현황과 효과에 관한 연구,송종길,2009
소비자 행태조사 보고서 2009 ,한국방송광고공사,2009
프로그램 인게이지먼트에 기반한 방송광고 판매방식이 지상파광고의 브랜드애드파워 제고에 미치는 영향 연구 ,오세성,2009
매체별 광고 도달 효과 추정에 관한 연구 ,박원기,2009
헌법재판소 판결에 따른 방송광고판매제도 개선방안 연구,정두남,2009
광고산업 선진화를 위한 진흥과제 연구,여송필,2009
광고산업 주요통계 조사 및 DB화 연구(5차년도) ,오세성,2009
2010 광고산업통계 ,"문화체육관광부, 한국방송광고공사",2010
2010 소비자행태조사 보고서 ,양휘부,2010
우리나라 광고주의 매체이용 실태에 관한 기간별 비교 연구 ,박원기,2010
싱글소스 광고매체가치평가 및 크로스미디어 시청률 산출체계 구축방안 연구 ,오세성,2010
방송통신융합시대 미디어 다원성 보장방안에 관한 연구 ,정두남,2010
크로스미디어 및 결합상품별 광고효과 분석 연구 ,전종우,2010
"지상파,케이블,IPTV,인터넷 광고유형 분류 체계에 대한 연구 ",이시훈,2010
"방송광고시장 수수료,약관,요금정책에 관한 연구 ",박현수,2010
취약매체 지원을 위한 광고할당 방안에 관한 연구 ,도준호,2010
전송료 체계 도입에 관한 연구 ,유승훈,2010
방송광고시장 통계지표 및 활용방안 연구 ,정병철,2010
모바일 산업의 진화 -스마트폰의 확산을 중심으로 - 연구,정두남,2010
2011년 방송광고시장 예측에 관한 연구 ,박원기,2010
광고산업 주요통계 조사 및 DB화 연구(6차년도) ,오세성,2010
스마트TV의 등장에 따른 미디어산업 구조변화에 관한 연구,정두남,2010
글로벌 시대의 소셜 미디어 광고전략 연구 ,한은경,2010
가상광고 활성화를 위한 광고효과 및 효율적 운용방안 연구 ,이수범,2010
정책홍보에 있어 트위터(twitter)를 활용한 정책 담론(discourse) 형성 가능성에 관한 연구 ,한정호,2010
경쟁체제 도입시 방송광고시장의 균형발전을 위한 제도도입 방안 연구 ,김민기,2010
스마트폰 애플리케이션 광고의 수용의도 예측을 통한 수익성 분석 연구 ,최영균,2010
방통융합 및 다매체시대 광고산업인력 양성방안 연구 ,박재진,2010
지상파 DMB 광고현황과 활성화 방안 연구 ,김재영,2010
월드컵 올림픽 등 대형 스포츠 이벤트 프로그램의 합리적 광고요금 산정과 판매방식에 관한 연구 ,김영산,2010
2010 광고산업통계,한국방송광고공사,2011
2010 Statistics for the Advertising industry,오세성,2011
지상파방송광고 경쟁력 강화를 위한 경쟁환경체제 하에서 '방송광고시장 활성화'를 위한 경제학적 분석 연구 ,김재홍,2011
종편PP 출범과 광고시장 변화에 관한 연구 ,박원기,2011
2012년 방송광고비 예측에 관한 연구 ,박원기,2011
광고산업 주요통계 조사 및 DB화 연구(7차년도) ,오세성,2011
스마트미디어시대 방송광고 효과를 극대화하기 위한 멀티플랫폼 광고 대응 방안 : 스마트미디어지수 도출을 통한 ... ,오세성,2011
스마트TV의 등장에 따른 미디어산업 구조변화에 관한 연구Ⅱ ,정두남,2011
스마트TV의 수익모델에 관한 연구 ,정두남,2011
경쟁환경체제 하에서 '방송광고시장 활성화'를 위한 경제학적 분석 연구,김재홍,2011
미디어빅뱅시대 공영미디어렙의 역할과 방향 ,원용진,2011
종합편성채널 환경 하에 채널별시청자 충족 적소의 이해와 이를 바탕으로 한 채널별 광고 전략 도출 연구 ,박종민,2011
스마트 미디어 시대의 쌍방향 광고 시장 현황과 전망 연구 ,이종관,2011
스마트 미디어 광고 활성화를 위한 메타데이터 표준화 등 정책방안 연구 ,이시훈,2011
디지털 미디어 시대의 광고기본법 제정연구 ,주정민,2011
"디지털 미디어 광고유형, 특성 등 광고효과 측정 체계 연구 ",문철수,2011
광고비 추정 모형 산출 연구 ,손영석,2011
선진 일류국가 진입을 위한 국가이미지의 효율적 관리 방안 연구 ,김유경,2011
경쟁미디어렙 시대 광고진흥사업 발전방안 ,정상윤,2011
광고 전문 인력의 직업 경로(career path) 연구 ,박영상,2011
시청률 조사 검증기관 설립 및 운영에 관한 연구 ,조성호,2011
방송광고 비대칭 규제 개선 방안 연구 ,김효규,2011
광고공용인프라 구축방안 연구 ,변종봉,2011
2011 광고산업통계,문화체육관광부,2011
2011 소비자 행태조사 보고서,한국방송광고공사,2011
TV프로그램 내 팝업광고 연구: 용인(Tolerance)과 광고효과를 중심으로 ,전병호,2011
스마트미디어 시대 잡지광고 활성화 전략 ,이용준,2011
다매체 다채널 방송시대 방송프로그램 프로모션과 효과에 관한 연구 ,김관규,2011
매체 통합형 광고심의 가이드라인 연구 ,한은경,2011
플랫폼에 따른 지상파방송 프로그램 이용패턴과 효율적 방송광고 집행에 관한 연구 ,강형철,2011
통합적 커뮤니케이션시대의 스마트미디어 광고효과 연구 ,김정현,2011
스마트 미디어시대 공영 미디어렙 위상정립을 위한 홍보전략 방안 연구 ,김봉철,2011
VOD 요금 책정 및 광고시간의 대체효과에 관한 연구: 프로그램 장르와 소비자 특성(구매량)을 중심으로 ,박유식,2011
소셜 미디어 광고의 확산과정 및 광고효과 연구 ,김재휘,2011
광고 배경음악의 유형 및 이미지 차원에 관한 연구 ,한상필,2011
종합편성채널의 등장이 광고산업에 미치는 영향 ,오만덕,2011
중소 광고회사의 육성방안에 관한 연구 ,심성욱,2011
광고문화지수 개발 및 시범조사 연구 ,김명중,2011
"웰빙시대 소비자, 마케팅, 광고 메커니즘에 관한 연구 ",진창현,2011
IMC관점에서의 인쇄매체 광고의 내용분석 연구 ,강경수,2011
TV광고 정보량 측정과 광고콘텐츠에 대한 시청자의 인지 ,박병호,2011
트위터 기반 CEO의 커뮤니케이션 활성화 방안 연구 ,박노일,2011
2011 Statistics for the Advertising industry,오세성,2011
"스마트미디어 광고제작산업 육성을 위한 연구(제작지원,인력,거래관행)",김병희,2011
미디어렙 경쟁력강화 및 선진화 방안 연구,이경렬,2011
공익광고 종합 발전방안 연구 ,하봉준,2011
광고 전문교육기관으로서 광고교육원 발전방안 연구 ,차유철,2011
대중매체를 활용한 정책홍보 효율화 방안 연구 ,황근,2011
방송광고시장의 경쟁체제 도입시 시장구조의 산업 조직론적 분석 연구,노용환,2011
경쟁 미디어렙 체제 하에서 합리적 수탁 및 대행 수수료 정책 방안 연구 ,박원기,2012
중소방송사 결합판매에 대한 합리적 기준 도출 및 거래성과 제고 연구 ,오세성,2012
스마트미디어 시대 보편적 시청권에 관한 연구 - 상업방송의 주요 스포츠 이벤트 독점 중계 이슈를 중심으로 ,정두남,2012
경쟁미디어렙 시대 허가정책 방향 정립 연구,전기철,2012
2012 광고산업통계,한국방송광고진흥공사,2012
2012 소비자 행태조사 보고서,한국방송광고진흥공사,2012
광고업 종사자들의 광고매체 의사결정에 관한 연구 ,박원기,2012
국내 지상파 TV와 이종매체간 결합판매 도입 시 광고시장 영향 분석 ,오세성,2012
디지털 지상파방송 주파수 활용 및 신규 서비스 모델 도입 방안에 관한 연구 ,정두남,2012
글로벌 광고시장 진출 확대를 위한 해외마케팅 활동 실태조사 및 경쟁력 강화 방안 ,김유경,2012
신공사 출범 이후 광고산업 진흥정책 체계 개선 방향 ,이종관,2012
효과적인 광고표준화 추진을 위한 마스터플랜 수립에 관한 연구,이시훈,2012
N스크린 다플랫폼 시대의 방송콘텐츠 가치 종합평가 시스템 구축에 관한 연구,이수영,2012
2013 방송통신 광고비 조사 ,한국방송광고진흥공사,2013
2013 소비자 행태조사 보고서,한국방송광고진흥공사,2013
간접광고 도입 등에 따른 협찬제도의 효과적 규제방안 연구 ,노동렬,2013
간접 및 가상광고 규제개선 및 활성화 방안 연구 ,변상규,2013
스마트미디어 광고 선정성에 관한 연구 ,김민기,2013
광고산업 경쟁상황 평가를 위한 선행연구 ,오세성,2013
N스크린 시대 규제 개선을 통한 방송광고시장 활성화 방안 연구 ,정두남,2013
스마트 미디어 시대의 광고 효과 측정 표준화 현황 및 과제에 관한 연구,김수욱,2013
동반성장을 위한 중소광고주 및 중소광고회사의 발전 방안 연구 ,박원기,2013
미디어 융합시대 광고 전문인력 양성을 위한 교육 프로그램 개발,오세성,2013
스마트 BPL 비즈니스 모델 연구,정두남/박종구,2013
스마트미디어 시대 공익광고 활성화를 위한 제도 개선 방안 연구 ,장우성,2013
2014 소비자 행태조사 보고서,한국방송광고진흥공사,2014
2014 방송통신광고비 조사,한국방송광고진흥공사,2014
스마트미디어 환경에서 신유형광고의 단가체계 표준화방안 연구,장우성,2014
통합시청률에 대한 시장반응 및 지상파 광고시장 활성화를 위한 활용방안 연구,오세성,2014
기술규제 완화에 따른 방송시장 파급효과에 관한 연구,정두남,2014
N스크린 환경에서의 미디어렙 판매대행 범위 확대방안 연구,한은경,2014
스마트광고 생태계 조성방안 연구,박종구,2014
국가간 FTA협약이 방송광고시장에 미치는 영향 및 대응방안 연구,정두남,2014
간접광고(PPL)의 효과측정모델 개발 연구,장우성,2014
스마트시대에 대응한 방송광고 분류체계 개선방안 연구,강준석,2015
KOBAnet/KODEX 성과분석에 대한 연구,변종봉,2015
지상파방송의 광고매체 가치분석 연구,박원기,2015
라디오 광고시장 활성화 방안 연구,오세성,2015
방송광고 온라인 경매시스템 도입 방안 연구,장우성,2015
2015 방송통신광고비 조사,한국방송광고진흥공사,2015
2015 소비자 행태조사 보고서,한국방송광고진흥공사,2015
방송개념 재정의를 통한 규제체계 개선방향에 관한 연구,정두남,2016
방송광고진흥 사업의 산업연관효과 분석연구,오세성,2015
광고산업 인적 인프라 강화를 위한 숙련단계별 교육방안 연구,장우성,2015
광고진흥사업의 기금사업 전환에 따른 마스터 플랜 도출 연구,오세성,2015
빅데이터 시스템을 이용한 방송광고산업 경쟁력 제고 방안 연구,박원기,2016
지상파TV광고의 Up-Sales를 위한 전략적 마케팅 방안 개발 연구,오세성,2016
미디어렙 판매대행영역 확대방안 연구,정두남,2016
방송통신융합시대 신유형광고 법제 정비 방안 연구,박종구,2016
매체집행 패턴이 광고효과에 미치는 영향 분석 연구,장우성,2016
규제개선을 통한 광고시장 활성화 방안 연구,이희복,2016
문화콘텐츠 산업이 광고시장에 미치는 영향 분석 연구,전종우,2016
2016 방송통신광고비 조사,한국방송광고진흥공사,2016
2016 소비자 행태조사 보고서,한국방송광고진흥공사,2016
"모바일, SNS, MCN 미디어시대에 지상파TV 광고전략 방안 연구",오세성,2016
방송 개념 재정의를 통한 규제체계 개선 방안 연구,정두남,2016
광고산업 공익패널 구축방안 연구,박종구,2016
콘텐츠 가치평가 tool 개발 연구,장우성,2016
청소년 진로교육 확대에 따른 광고교육원 교육방향 연구,박원기,2017
여론 다양성 규제의 패러다임 변화,정두남,2017
공사 중소기업 지원제도 운영성과 분석 및 추가 지원모델 개발 연구,오세성,2017
2017 방송통신광고비 조사 보고서,한국방송광고진흥공사,2017
2017 소비자 행태조사 보고서,한국방송광고진흥공사,2017
MCN 브랜디드 콘텐츠의 광고효과 분석,최세정,2017
워터마크 등 액티브 방식을 활용한 N스크린조사 추진 방안 연구,김원겸,2017
우리나라와 주요국의 미디어이용조사 현황에 대한 비교 연구,오세성,2017
여론 다양성 규제의 패러다임 변화 연구 - 독일 사례를 중심으로Ⅱ,정두남,2017
AI의 등장이 미디어산업에 미치는 영향에 관한 탐색적 연구,정두남,2017
광고업계 활용도 제고를 위한 MCR 조사설계 개선 방안에 대한 연구,오세성,2018
공익광고제도의 국제협력 강화 방안 연구,이태준,2018
2018 방송통신광고비 조사 보고서,한국방송광고진흥공사,2018
2018 소비자 행태조사 보고서,한국방송광고진흥공사,2018
남북교류 확대 대비 광고산업 활성화 방안 연구,박원기,2018
공영미디어렙의 사업영역 확대 및 통신광고 영역에서 공적 역할 확대 방안 연구,정두남,2018
KODEX 전송료 산출기준 재산정에 관한 연구,박근수,2018
미디어공공데이터 플랫폼 구축방안 연구 - 싱가포르 국영방송 디지털광고플랫폼 구축사례를 중심으로 -,임정택,2018
KAI자료의 활용성 제고를 위한 추가지표 산출방안에 대한 연구,오세성,2018
융합환경 대응을 위한 방송통신발전기금제도 개선 방안 연구,정두남,2018
정부광고주 서비스 개선 및 광고효과 개선 방안 연구(정부광고 분리대행에 대한 법·제도적 검토),이종관,2018
방송광고 수수료 제도 개선 방안 연구,이수범,2018
방송콘텐츠 가치정보분석시스템(RACOI) 조사범위 확대를 통한 가치제고방안 연구,강신규,2019
TV와 디지털 미디어의 광고효과 상관성 연구,권예지,2019
미디어광고 공공데이터의 사회적 가치 제고방안 연구,박종구,2019
융합환경 대응을 위한 방송통신발전기금 제도 개선방안 연구,정두남,2019
중소기업 혁신성장을 위한 광고마케팅 지원사업 활성화 방안,강신규,2019
디지털 미디어 시대의 광고마케팅 전략 연구,권예지,2019
MCR 지표개발 연구,박종구,2019
국내외 OTT서비스 시장 현황 및 규제정책 연구,정두남,2019
광고산업 발전을 위한 진흥방안 연구,"박종구,강신규,권예지",2020
신규기금 확보를 위한 정부 기금사업 현황연구,강신규,2020
디지털 공영 방송콘텐츠 아카이브 구축을 위한 현황연구,강신규,2020
광고산업 활성화를 위한 방송통신 광고정책 거버넌스 개선방안,정두남,2020
MMCR 활용방안,박종구,2020
유튜브 콘텐츠의 세대별 광고효과,권예지,2020
국정홍보 기능의 역할과 과제,권예지,2020
"미디어테이터 인,검증 업무 수행을 위한 방안 모색",성윤택,2020
어드레서블 TV광고 상품개발,박종구,2020
중소기업 신규지원사업 발굴을 위한 수요조사,강신규,2020
크로스미디어렙 및 공영렙 활성화 방안,박지연,2020
광고산업의 지속성장을 위한 건전성 확보방안 연구,김병희,2020
미디어산업분야 데이터 기술 활용방안 연구,"박종구, 강신규, 권예지",2020
공공 커뮤니케이션 활성화 방안,권예지,2021
광고산업의 포용적 성장을 위한 육성방안 연구,박종구,2021
미디어산업 진흥 방안,성윤택,2021
지속가능한 발전을 위한 광고이용자 권익 향상 방안,권예지,2021
미디어·광고 혁신성장을 위한 신유형광고 진흥방안,"강신규, 이해수",2021
중소광고산업 육성방안 연구,"양승광, 임풀잎",2021
글로벌 경쟁시대 국내 광고산업 영토 확장방안,"강신규, 노창희, 이경미",2022
매체 환경 변화에 따른 라디오 산업 활성화 방안,"변혜민, 김기민, 오준혁",2022
빅데이터 토픽모델링 기법을 활용한 새 정부 미디어광고산업 진흥정책 추진과제,"박종구, 이창로, 이해수",2022
K-OTT 플랫폼의 해외시장 진출 활성화 방안 연구,"김도경, 백현미, 박지은, 고채은",2022
디지털 트랜스포메이션 시대 광고의 새로운 영역 검토 방안,"권예지, 이희준, 이혜선, 장시연",2022
글로벌 OTT가 국내광고시장의 미치는 영향,"이시훈, 변상규, 노창희, 강신규",2022
광고시장 신뢰도 제고를 위한 브랜드 세이프티 강화 방안,송영아,2023
광고-미디어 환경 변화 대응을 위한 간접.가상광고 확장 가능성 연구,변혜민,2023
Addressable TV광고효과 측정방법론 연구,박종구,2023
"광고 일상화 시대,광고 리터러시 교육 발전방안연구",권예지,2023
"AI 시대, 광고산업 발전 방안: 광고 주요 프로세스에서 AI의 활용과 미래 대응",변혜민,2024
글로벌 경쟁 시대 TV 생존전략 방안 연구,권예지,2024
디지털 광고산업의 지속 성장을 위한 공적역할 강화방안 연구,천혜선,2024
광고주 대상 광고 집행 조사,메트릭스,2024
