연도,작품명,대분류,소분류
1981,새 해 새 희망,국가의식,민족의식
1981,아끼세요,환경/에너지,에너지/자원 절약
1981,우리는 모두 이웃,공동체 의식/상생,다양성 존중
1981,풍요로운 내일,경제/산업,저축 및 절약
1981,의자,경제/산업,경제 침체 극복
1982,내일의 당신,사회적 약자 및 소수자 보호,노인
1982,대도약의 나래,국가의식,민족의식
1982,모두가 주인,국가의식,민족의식
1982,물가안정,경제/산업,경제 침체 극복
1982,반칙,공중예절/에티켓,공공매너
1982,부주의,보건/안전,화재안전
1982,셋이서 가요,가정/아동/청소년,가족계획
1982,손잡기,공동체 의식/상생,신뢰/화합
1982,어린이는 어른의 거울,공중예절/에티켓,공공매너
1982,얼룩진 자국,범죄예방,부정부패
1982,우리는 한 배를 타고 있습니다,공동체 의식/상생,신뢰/화합
1982,우리의 영원한 정원,환경/에너지,환경보호 의식 개선
1982,일석사조,경제/산업,저축 및 절약
1982,통일로 가는 길,국가의식,통일
1982,한 민족 한 핏줄,국가의식,민족의식
1983,결혼식,가정/아동/청소년,가족계획
1983,나라의 미래,가정/아동/청소년,도전정신 고취
1983,내일의 주인공,과학/기술,과학기술 장려
1983,대식가,보건/안전,화재안전
1983,돈,경제/산업,저축 및 절약
1983,부끄러운 말,보건/안전,안전의식
1983,선진조국 창조,국가의식,민족의식
1983,우리아빠,경제/산업,근로 의욕 고취
1983,우리의 재산,가정/아동/청소년,도전정신 고취
1983,전화기,공중예절/에티켓,공공매너
1983,제2의 광복,국가의식,통일
1983,제2의 생산,환경/에너지,에너지/자원 절약
1983,제인양,문화/예술/관광,국가브랜드
1983,진짜질서,공중예절/에티켓,공공매너
1983,헌혈가족,보건/안전,헌혈/장기기증
1983,힘찬 전진,보건/안전,민족의식
1984,공든탑,보건/안전,화재안전
1984,두 얼굴,경제/산업,국산품 애용
1984,무형의 재산,공중예절/에티켓,공공매너
1984,문화유산,국가의식,민족의식
1984,방심,보건/안전,안전의식
1984,사랑의 실천,보건/안전,헌혈/장기기증
1984,손기정,국가의식,국가행사
1984,오케스트라,국가의식,민족의식
1984,저축의 생활화,경제/산업,저축 및 절약
1984,주의와 점검,보건/안전,화재안전
1984,질서는 능률,공중예절/에티켓,공공매너
1984,차선,보건/안전,교통안전
1984,청결 금메달,국가의식,국가행사
1984,청소년 문제의 원점,가정/아동/청소년,자녀 관심/교육
1984,학창시절,가정/아동/청소년,도전정신 고취
1984,한 마음,경제/산업,노사 화합
1984,인터뷰,가정/아동/청소년,가족계획
1984,희망의 85,국가의식,민족의식
1985,계란차,보건/안전,교통안전
1985,길,국가의식,민족의식
1985,미술시간,보건/안전,화재안전
1985,새로운 출발,국가의식,국가행사
1985,앨범,가정/아동/청소년,효/예절
1985,이웃사랑,보건/안전,헌혈/장기기증
1985,자녀에게 관심을,가정/아동/청소년,자녀 관심/교육
1985,자린고비 이야기,경제/산업,저축 및 절약
1985,종이 한 장이 바로 외화,경제/산업,저축 및 절약
1985,찻잔,국가의식,민족의식
1985,찾아가지 않는 물건들,경제/산업,저축 및 절약
1985,학창생활,가정/아동/청소년,청소년
1985,호돌이,환경/에너지,환경보호 의식 개선
1986,1000억불시대,경제/산업,근로 의욕 고취
1986,간첩신고,범죄예방,간첩신고
1986,경제,환경/에너지,국토 보존
1986,꿈나무,환경/에너지,국토 보존
1986,노젓는 노인,환경/에너지,국토 보존
1986,다시와본 한강,환경/에너지,국토 보존
1986,먼지,환경/에너지,대기오염
1986,문화유산,국가의식,민족의식
1986,문화창달,환경/에너지,국토 보존
1986,미꾸라지,보건/안전,교통안전
1986,바른언어생활,공중예절/에티켓,언어 예절
1986,백로는 날아들고,환경/에너지,국토 보존
1986,새로운 출발,환경/에너지,국토 보존
1986,손과 마음을 보탭시다,국가의식,국가행사
1986,오케스트라,보건/안전,화재안전
1986,우리모두 안전요원,보건/안전,안전의식
1986,인공위성,환경/에너지,국토 보존
1986,주의와 점검,보건/안전,화재안전
1986,톱니바퀴,공동체 의식/상생,신뢰/화합
1986,한 자녀 가정,가정/아동/청소년,가족계획
1986,헌혈,보건/안전,헌혈/장기기증
1986,휴식터,환경/에너지,국토 보존
1987,건강한 사회,공동체 의식/상생,신뢰/화합
1987,기수단,국가의식,국가행사
1987,다시 찾은 한강,환경/에너지,국토 보존
1987,대한국인,국가의식,역사의식
1987,마음의 문턱,사회적 약자 및 소수자 보호,장애인
1987,민족문화의 긍지,국가의식,민족의식
1987,버려야 할 유산,국가의식,선거
1987,빙산의 힘,국가의식,민족의식
1987,산쓰레기,환경/에너지,토양오염
1987,악수,국가의식,민족의식
1987,안전벨트,보건/안전,교통안전
1987,안전제일의 생활화,인권/노동/복지,근로 환경
1987,오륜기,국가의식,국가행사
1987,자유와 평화,범죄예방,간첩신고
1987,토끼와 거북이,경제/산업,저축 및 절약
1987,한 자녀 시대,가정/아동/청소년,가족계획
1987,흔들의자,국가의식,민족의식
1988,금메달,국가의식,국가행사
1988,모두가 한 마음,국가의식,민족의식
1988,사랑의 실천,보건/안전,헌혈/장기기증
1988,상거래 질서,경제/산업,상거래 질서
1988,소비자 권리,경제/산업,소비자권리
1988,송율궁군,사회적 약자 및 소수자 보호,장애인
1988,우리 모두의 책임,국가의식,선거
1988,우리의 모습,국가의식,민족의식
1988,우정과 화합,국가의식,국가행사
1988,음주운전 예방,보건/안전,교통안전
1988,인사,공중예절/에티켓,공공매너
1988,장승,국가의식,국가행사
1988,차선 지키기,보건/안전,교통안전
1988,추적,공동체 의식/상생,이웃간 소통/나눔
1988,쾌적한 환경,국가의식,국가행사
1989,도미노,범죄예방,범죄신고
1989,등산객,보건/안전,화재안전
1989,마음의 여유,공중예절/에티켓,공공매너
1989,생활하수,환경/에너지,수질오염
1989,세상의 절반,사회적 약자 및 소수자 보호,여성
1989,유해환경 추방,가정/아동/청소년,청소년 관심/선도
1989,인형,범죄예방,아동학대
1989,작은 예절,가정/아동/청소년,효/예절
1989,창살,보건/안전,정신건강
1989,출소자,사회적 약자 및 소수자 보호,출소자
1989,키재기,가정/아동/청소년,효/예절
1989,포도송이,인권/노동/복지,복지 정책
1989,풍선,경제/산업,과소비 지양
1989,헬멧,인권/노동/복지,근로 환경
1990,대화,가정/아동/청소년,가정 내 소통
1990,런칭,환경/에너지,환경보호 의식 개선
1990,사랑의 손길,보건/안전,헌혈/장기기증
1990,산업폐수,환경/에너지,수질오염
1990,생산성 향상,경제/산업,경제 침체 극복
1990,스위치,환경/에너지,에너지/자원 절약
1990,오뚜기,보건/안전,교통안전
1990,늑대인간,공중예절/에티켓,공공매너
1990,이기심,공동체 의식/상생,타인 배려/소통
1990,종이배,경제/산업,과소비 지양
1990,퍼즐,국가의식,민족의식
1990,합성세제,환경/에너지,수질오염
1991,귀중한 한표,국가의식,선거
1991,그냥 두세요,가정/아동/청소년,효/예절
1991,늦지 않았습니다,경제/산업,과소비 지양
1991,달력,경제/산업,과소비 지양
1991,따뜻한 마음,공동체 의식/상생,이웃간 소통/나눔
1991,따뜻한 손길,공동체 의식/상생,소외계층 관심
1991,무관심,범죄예방,범죄신고
1991,올가미,보건/안전,정신건강
1991,음식물낭비,경제/산업,저축 및 절약
1991,좌절극복,가정/아동/청소년,도전정신 고취
1991,초롱이 탄생,환경/에너지,환경보호 의식 개선
1991,턱,사회적 약자 및 소수자 보호,장애인
1991,필름 역회전,보건/안전,교통안전
1991,행락철 환경보존,환경/에너지,토양오염
1991,화합의 한마당,국가의식,국가행사
1992,경제 재도약,경제/산업,근로 의욕 고취
1992,금권선거방지,국가의식,선거
1992,누렁이,환경/에너지,토양오염
1992,다시 한번 뜁시다,국가의식,민족의식
1992,대선투표 참여,국가의식,선거
1992,밝고 희망찬 사회,공동체 의식/상생,신뢰/화합
1992,산불방지,보건/안전,화재안전
1992,새출발,국가의식,민족의식
1992,신뢰사회,공동체 의식/상생,신뢰/화합
1992,쓰레기 다이어트,환경/에너지,재활용/일회용품 자제
1992,자원 재활용,환경/에너지,재활용/일회용품 자제
1992,절전,환경/에너지,에너지/자원 절약
1992,제14대 국회의원,국가의식,선거
1992,청소년의 합창,가정/아동/청소년,도전정신 고취
1993,경제를 살립시다,경제/산업,근로 의욕 고취
1993,국가경쟁력 강화,경제/산업,근로 의욕 고취
1993,도우미,국가의식,국가행사
1993,부정부패 추방,범죄예방,부정부패
1993,산업역군,경제/산업,근로 의욕 고취
1993,새다짐 새각오,국가의식,민족의식
1993,아버지와 딸,과학/기술,과학기술 장려
1993,작은 관심 큰 도움,공동체 의식/상생,타인 배려/소통
1993,증언,문화/예술/관광,독서
1993,청소년 교육,가정/아동/청소년,자녀 관심/교육
1993,프로정신,경제/산업,근로 의욕 고취
1993,환경주부,환경/에너지,재활용/일회용품 자제
1994,과학기술 혁신,과학/기술,과학기술 장려
1994,농촌사랑,공동체 의식/상생,신뢰/화합
1994,도덕성 회복,국가의식,민족의식
1994,마약추방,보건/안전,정신건강
1994,맑은공기 보존,환경/에너지,대기오염
1994,맑은물 되살리기,환경/에너지,수질오염
1994,신문고,범죄예방,범죄신고
1994,예절,국가의식,역사의식
1994,이웃사랑-정,공동체 의식/상생,이웃간 소통/나눔
1994,자연은 우리의 생명,환경/에너지,환경보호 의식 개선
1994,질서,공중예절/에티켓,대중교통 예절
1994,화합하여 세계로,경제/산업,근로 의욕 고취
1995,꽁초할아버지,공중예절/에티켓,공공매너
1995,노사는 동반자,경제/산업,노사 화합
1995,노희지의 깨끗한 선거,국가의식,선거
1995,무의탁 노인,가정/아동/청소년,효/예절
1995,밝은 청소년상,가정/아동/청소년,도전정신 고취
1995,쓰레기 줄이기,환경/에너지,재활용/일회용품 자제
1995,앵무새,공중예절/에티켓,언어 예절
1995,야생화,환경/에너지,환경보호 의식 개선
1995,첫 날,국가의식,민족의식
1995,해방동이,국가의식,나라사랑
1996,바를正자,국가의식,선거
1996,부모님의 마음,범죄예방,학교폭력
1996,서세원 부부,경제/산업,과소비 지양
1996,섬돌위의 신발,가정/아동/청소년,가정 내 소통
1996,세계제일,경제/산업,노사 화합
1996,맑은 물이 그립습니다,환경/에너지,수질오염
1996,올바른 소비생활,경제/산업,과소비 지양
1997,노사는 무촌,경제/산업,노사 화합
1997,다시 뜁시다,경제/산업,근로 의욕 고취
1997,우리 모두 다 같이 조금만,환경/에너지,에너지/자원 절약
1997,웃을 수 있는 미래,공동체 의식/상생,신뢰/화합
1997,태극기 사랑,국가의식,나라사랑
1997,하얀색 투표용지,국가의식,선거
1998,IMF졸업식,경제/산업,경제 침체 극복
1998,도전,가정/아동/청소년,도전정신 고취
1998,똑똑한 소비,경제/산업,과소비 지양
1998,외채줄이기,경제/산업,경제 침체 극복
1998,의자,경제/산업,경제 침체 극복
1998,처음처럼,국가의식,민족의식
1998,청소년 독백,가정/아동/청소년,청소년 관심/선도
1999,기본이 바로 선 나라,공동체 의식/상생,신뢰/화합
1999,독서 캠페인,문화/예술/관광,독서
1999,새 천년 새 한국,국가의식,민족의식
1999,쉬운일은 아닙니다,범죄예방,부정부패
1999,우리는 드림팀이 아닙니다,국가의식,민족의식
1999,친절은 표현할때,문화/예술/관광,국가브랜드
2000,산불예방,보건/안전,화재안전
2000,우리의 아이,국가의식,나라사랑
2000,이웃사랑,보건/안전,헌혈/장기기증
2000,제대로 찍으셔야죠,국가의식,선거
2000,질서는 당신의 얼굴,공중예절/에티켓,공공매너
2000,국민화합-조정경기,공동체 의식/상생,신뢰/화합
2001,10년 후의 명함,가정/아동/청소년,도전정신 고취
2001,글로벌 에티켓,보건/안전,교통안전
2001,샤워,환경/에너지,에너지/자원 절약
2001,월드컵,국가의식,국가행사
2001,주수소,환경/에너지,에너지/자원 절약
2001,친절,문화/예술/관광,국가브랜드
2002,무덤,보건/안전,정신건강
2002,미소,문화/예술/관광,국가브랜드
2002,생활하수,환경/에너지,수질오염
2002,약속,국가의식,국가행사
2002,이웃사랑-결식아동,공동체 의식/상생,소외계층 관심
2002,불우이웃돕기-종소리,공동체 의식/상생,소외계층 관심
2002,푸른 신호등,공중예절/에티켓,대중교통 예절
2003,나누는 마음,공동체 의식/상생,소외계층 관심
2003,늪,경제/산업,과소비 지양
2003,대화,가정/아동/청소년,자녀 관심/교육
2003,손끝,보건/안전,화재안전
2003,쓰레기는 죽지 않는다,환경/에너지,재활용/일회용품 자제
2003,자랑스러운 한국인,국가의식,민족의식
2004,병들의 합창,환경/에너지,재활용/일회용품 자제
2004,색안경,인권/노동/복지,공정채용/고용안정
2004,소중한 가정,가정/아동/청소년,가정 내 소통
2004,육류소비촉진,경제/산업,육류소비촉진
2004,세상에서 가장 아름다운 교육,공동체 의식/상생,소외계층 관심
2004,점묘화,범죄예방,저작권 보호
2005,1분의 배려,공중예절/에티켓,공공매너
2005,고맙습니다,환경/에너지,재활용/일회용품 자제
2005,동갑내기 생일파티,보건/안전,헌혈/장기기증
2005,봄의 시작,경제/산업,경제 침체 극복
2005,천의 얼굴,공중예절/에티켓,디지털 예절
2005,한일공동캠페인-당신의 말을 기다리고 있습니다(한국),가정/아동/청소년,자녀 관심/교육
2005,한일공동캠페인-대화하자(일본),가정/아동/청소년,자녀 관심/교육
2006,어린날의 문화체험,문화/예술/관광,문화 의식
2006,연탄은행,공동체 의식/상생,소외계층 관심
2006,음주운전,보건/안전,교통안전
2006,참 잘했어요,공중예절/에티켓,공공매너
2006,판소리,경제/산업,경제 침체 극복
2006,환경수명,환경/에너지,재활용/일회용품 자제
2007,아름다운 빈 손,공동체 의식/상생,소외계층 관심
2007,아름다운 선물,가정/아동/청소년,가족계획
2007,인터넷 테러,공중예절/에티켓,디지털 예절
2007,일회용품들의 수다,환경/에너지,재활용/일회용품 자제
2007,주장과 배려,공동체 의식/상생,다양성 존중
2007,평생태교,가정/아동/청소년,자녀 관심/교육
2008,꿈의 희망가,가정/아동/청소년,도전정신 고취
2008,당신의 액세서리,공중예절/에티켓,공공매너
2008,움직이세요,범죄예방,학교폭력
2008,말하세요,범죄예방,학교폭력
2008,세상에서 가장 아름다운 표정,보건/안전,헌혈/장기기증
2008,스타,환경/에너지,대기오염
2008,에너지는 현금입니다,환경/에너지,에너지/자원 절약
2008,에코라이벌,환경/에너지,에너지/자원 절약
2008,우리나라에 버렸습니다,공중예절/에티켓,공공매너
2008,컬러,공동체 의식/상생,다양성 존중
2008,행복을 채워주는 사람,사회적 약자 및 소수자 보호,다문화
2009,I am Korean ,문화/예술/관광,국가브랜드
2009,과거 속에 미래가 있다,경제/산업,경제 침체 극복
2009,녹색혁명가,환경/에너지,에너지/자원 절약
2009,대신할 수 없는 것,환경/에너지,에너지/자원 절약
2009,대한민국 1000명에게 물었습니다,공동체 의식/상생,소외계층 관심
2009,대한민국을 갉아먹는 글,공중예절/에티켓,디지털 예절
2009,밥이되고 싶습니다-나눔A,공동체 의식/상생,소외계층 관심
2009,아이는 나라의 건강한 미래,가정/아동/청소년,가족계획
2009,안보고 안듣고 말안하고,,
2009,인간낚시,범죄예방,피싱/스미싱
2009,청탁의 조종,범죄예방,청탁금지
2010,마음 속 리모콘,공동체 의식/상생,타인 배려/소통
2010,모습은 비슷해도 결과는 정반대,환경/에너지,에너지/자원 절약
2010,바른생활,공중예절/에티켓,공공매너
2010,부모와 학부모,가정/아동/청소년,자녀 관심/교육
2010,사라집니다,범죄예방,저작권 보호
2010,세계예의지국,문화/예술/관광,국가브랜드
2010,술잔들의 질주,보건/안전,교통안전
2010,이상한 나라,경제/산업,경제 침체 극복
2011,중형차 100만대를 버렸다,환경/에너지,에너지/자원 절약
2011,여기는 제주입니다,문화/예술/관광,관광
2011,숨은인재찾기,인권/노동/복지,공정채용/고용안정
2011,선플릴레이,공중예절/에티켓,디지털 예절
2011,안과 밖이 다른 가족(가족의 가치),가정/아동/청소년,가정 내 소통
2011,공공예절 나이,공중예절/에티켓,공공매너
2011,나는…,공동체 의식/상생,소외계층 관심
2011,어느새 우리의 이야기,환경/에너지,지구온난화
2012,그런 애는 없습니다,범죄예방,학교폭력
2012,공정한 기회 - 전래동화편,인권/노동/복지,공정채용/고용안정
2012,부정부패 방지 - 양심과 욕심,범죄예방,부정부패
2012,나라사랑 - 애국하는 시간,국가의식,나라사랑
2012,에너지 절약 - 5천만개의 발전소,환경/에너지,에너지/자원 절약
2012,언어 순화 - 어서 말을 해,공중예절/에티켓,언어 예절
2012,개인정보 보호 - 열려라 참깨,범죄예방,피싱/스미싱
2012,Silver Talk,사회적 약자 및 소수자 보호,노인
2013,국민희망,경제/산업,근로 의욕 고취
2013,자살 예방 - 물음표를 붙여주세요,보건/안전,정신건강
2013,안전운전 - 오직 운전만 하세요,보건/안전,교통안전
2013,"다문화, 이해와 소통",사회적 약자 및 소수자 보호,다문화
2014,스마트폰 중독 - 묵념,보건/안전,정신건강
2014,개인정보 보호 - 소중한 인생,범죄예방,피싱/스미싱
2014,사회 화합/소통 - 대한민국 흥행요소,공동체 의식/상생,신뢰/화합
2014,아동안전/보호 - 장난감,범죄예방,아동학대
2014,안전 - 방심과 안심,보건/안전,안전의식
2014,에너지 절약 - 위대한 발견,환경/에너지,에너지/자원 절약
2014,타인배려 - 약사,공중예절/에티켓,공공매너
2014,인터넷/SNS 예절 - 너의 목소리가 들려,공중예절/에티켓,디지털 예절
2014,반부패/청렴문화 조성 - 돌아볼 때 보입니다.,범죄예방,청탁금지
2014,소외계층 관심 - 노숙인 다시보기,공동체 의식/상생,소외계층 관심
2015,경제 활성화 - 오늘 뭐 하실 거예요,경제/산업,근로 의욕 고취
2015,학교폭력 - 학교폭력이 자라면,범죄예방,학교폭력
2015,가족간의 관계 - 질문,가정/아동/청소년,가정 내 소통
2015,나라사랑 - 나를 위한,국가의식,민족의식
2015,환경보호 - 나무를 베지 않는 착한 아메리카노,환경/에너지,재활용/일회용품 자제
2015,피싱스미싱범죄예방 - 의심이 안심입니다,범죄예방,피싱/스미싱
2015,인터넷/스마트폰 올바른 사용 - 모바일 제로타임,공중예절/에티켓,공공매너
2015,상생/균형발전 - 마을이 쇼핑센터,경제/산업,지역경제 육성
2015,감정노동 - 2016 新 놀부전,인권/노동/복지,노동인권
2015,부모자식간 커뮤니케이션/효 - 효도는 말 한마디,가정/아동/청소년,효/예절
2016,문화생활 - 함께하는 문화생활,문화/예술/관광,문화 의식
2016,아동학대/폭력문제 - 꼭꼭 숨어라,범죄예방,아동학대
2016,경쟁위주 사회문화 - 이세돌,공동체 의식/상생,신뢰/화합
2016,공동체의식 - 국민편익과 납세,인권/노동/복지,복지 정책
2016,저출산문제 - 아기의 마음,가정/아동/청소년,육아/임산부 배려
2016,정보보호 - 또 다른 나,범죄예방,피싱/스미싱
2016,한글 등 올바른 언어사용 - 산이,국가의식,한글사랑
2016,청렴사회/부정청탁금지 - 받겠습니다,범죄예방,부정부패
2016,탈북민 인식개선 - 우리는 이미 하나,사회적 약자 및 소수자 보호,탈북민
2016,스마트폰 올바른 사용 - 악역배우,공중예절/에티켓,공공매너
2016,작은 결혼식 - 허들,경제/산업,과소비 지양
2017,상호존중과 배려 - 나는 맞고 남들은 틀리다,공동체 의식/상생,타인 배려/소통
2017,다양한 가족 - 그런 사연 없어요,공동체 의식/상생,다양성 존중
2017,언어폭력(온라인) - 능력자,공중예절/에티켓,디지털 예절
2017,올바른 운전문화 정착 - 좋은사람,보건/안전,교통안전
2017,올바른 금융습관 - 돌다리,범죄예방,피싱/스미싱
2017,"2018 평창동계올림픽 - 모두의 Winter, 모두가 Winner",국가의식,국가행사
2017,층간소음 - 층간내리사랑,공중예절/에티켓,층간소음
2017,청소년 폭력예방 - 폭력은 장난이 아닙니다,범죄예방,학교폭력
2017,함께 일하는 사회 - 나눔이 더함이다,인권/노동/복지,공정채용/고용안정
2017,독서 - 서평,문화/예술/관광,독서
2018,화재/안전 - 영화예고,보건/안전,화재안전
2018,"선거, 민주주의 지성의 실천 - 역할극",국가의식,선거
2018,나눔과 배려 - 행복한 가방,공동체 의식/상생,소외계층 관심
2018,누군가는 이야기해야 합니다,사회적 약자 및 소수자 보호,여성
2018,갑질문화 인식개선 - 벼슬,인권/노동/복지,노동인권
2018,교통 안전 - 안전은 안에서부터,보건/안전,교통안전
2018,공공장소에서의 예절 - 당신의 배려가,공중예절/에티켓,공공매너
2019,공동체 가치 함양-이웃의 신호,공동체 의식/상생,이웃간 소통/나눔
2019,3·1운동 정신계승-국민이 이어갑니다,국가의식,역사의식
2019,데이트 폭력 피해 예방-사랑하는 척,범죄예방,데이트폭력
2019,육아기 사회적 배려 - 오해와 진심,가정/아동/청소년,육아/임산부 배려
2019,피싱 스미싱 피해 예방 - 누구나,범죄예방,피싱/스미싱
2019,발달장애 인식개선 - 주인공은 싫습니다,사회적 약자 및 소수자 보호,장애인
2019,디지털 시민의식 함양 - SNS는 또 하나의 미디어,공중예절/에티켓,디지털 예절
2019,안전불감증 개선 - 어느 안전,보건/안전,안전의식
2019,친환경 생활실천 - 쿨한 가게,환경/에너지,재활용/일회용품 자제
2019,노인에 대한 인식개선 - 내일의 나,사회적 약자 및 소수자 보호,노인
2019,안전한 반려견 예절문화 - 우리 개는 순한데(일반인편),공중예절/에티켓,펫티켓
2019,안전한 반려견 예절문화 - 우리 개는 순한데(반려인편),공중예절/에티켓,펫티켓
2019,상호존중과 통합 - 대한민국 듣기평가,공동체 의식/상생,타인 배려/소통
2019,학교폭력 - 톡 쳤을뿐인데,범죄예방,학교폭력
2020,나의 첫 선거,국가의식,선거
2020,재도전 응원문화 - 괜찮아,경제/산업,소상공인 육성
2020,다문화 - 요즘문화,사회적 약자 및 소수자 보호,다문화
2020,대한민국을 지키는 히어로,보건/안전,공중보건
2020,아동안전 - 운전자가 보호자,보건/안전,교통안전
2020,사회통합 및 갈등해소 - 마음 품앗이,공동체 의식/상생,신뢰/화합
2020,재난대응과 극복 - 외출 생활 백신(가족편),보건/안전,공중보건
2020,재난대응과 극복 - 외출 생활 백신(직장인편),보건/안전,공중보건
2020,응원 - 확신자,보건/안전,공중보건
2020,디지털 격차 해소 ,공동체 의식/상생,소외계층 관심
2020,청소년 개인정보보호 인식개선 - 털림그림찾기,범죄예방,피싱/스미싱
2020,이륜차 이용문화 개선 - 굿라이더,보건/안전,교통안전
2021,코로나19극복 - 최고의 씬,보건/안전,공중보건
2021,환경 - 애착용기,환경/에너지,재활용/일회용품 자제
2021,노동자 인권 보호 - 가장 불편한 택배,인권/노동/복지,노동인권
2021,노동자 인권 보호 - 가장 무거운 택배,인권/노동/복지,노동인권
2021,아동보호 - 아동학대 방지,가정/아동/청소년,아동보호
2021,스토킹 범죄 예방 - 사랑이 죄야,범죄예방,데이트폭력
2021,선거 - 대통령 채용,국가의식,선거
2021,다양성 존중 및 사회통합 - 존중과 배려,공동체 의식/상생,타인 배려/소통
2022,자긍심 - 다 한다,국가의식,민족의식
2022,환경Ⅰ(탄소중립) - 좋은 습관,환경/에너지,지구온난화
2022,세대갈등 해소 - 알파벳에 대한 편견,공동체 의식/상생,타인 배려/소통
2022,사회적 약자 배려 및 화합 - 청년응원,사회적 약자 및 소수자 보호,청년
2022,올바른 언어 사용 - 해석 불가능 시대,공중예절/에티켓,언어 예절
2022,환경Ⅱ - 전국 친환경 자랑,환경/에너지,환경보호 의식 개선
2022,운전 문화 - 안전운전자가 타고있어요,보건/안전,교통안전
2023,공동체 의식 - 처음만 힘들지,공동체 의식/상생,타인 배려/소통
2023,디지털 매너 - 올바른 디지털 콘텐츠 사용 문화,공중예절/에티켓,디지털 예절
2023,생활안전 - 일상의 개인안전,보건/안전,안전의식
2023,환경 - 친환경 피지컬,환경/에너지,환경보호 의식 개선
2023,산업안전 - 일터에서의 국민안전,보건/안전,안전의식
2023,"마약 근절 - 마약 시작, 인생 끝",보건/안전,정신건강
2023,피싱·스미싱 예방 - 심청,범죄예방,피싱/스미싱
2024,저출생 극복 - 아…이러니,가정/아동/청소년,가족계획
2024,청소년 도박 예방,가정/아동/청소년,청소년 관심/선도
2024,공공매너-반전매너,공중예절/에티켓,공공대너
2024,다문화 I - 이주배경 청소년,사회적 약자 및 소수자 보호,다문화
2024,다문화 II - 이주배경 이웃들,사회적 약자 및 소수자 보호,다문화
2024,장애인(발달장애 등)-출발,사회공동체,장애인
2024,환경보호 - 지구살림템,환경/에너지,환경보호 의식 개선
