제작연도,고유번호,공익광고작품명,대분류,소분류,영상링크-코바코 홈페이지,영상링크-유튜브,핵심 키워드(관리자 직접 지정),썸네일 이미지,썸네일 이미지 이름
1981,1981_01,새해 새 희망,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/7?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1981&adtDefaultYear=false,,,O,1981_01.jpg
1981,1981_02,아끼세요,자연환경,에너지 절약,https://www.kobaco.co.kr/site/main/archive/advertising/5/10?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1981&adtDefaultYear=false,,,O,1981_02.jpg
1981,1981_03,우리는 모두 이웃,사회공동체,나눔/이웃,https://www.kobaco.co.kr/site/main/archive/advertising/5/9?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1981&adtDefaultYear=false,,,O,1981_03.jpg
1981,1981_04,풍요로운 내일,경제사회/기타,절약/소비,https://www.kobaco.co.kr/site/main/archive/advertising/5/11?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1981&adtDefaultYear=false,,,O,1981_04.jpg
1981,1981_05,의자,경제사회/기타,국가경제,https://www.kobaco.co.kr/site/main/archive/advertising/5/8?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1981&adtDefaultYear=false,,,O,1981_05.jpg
1982,1982_01,내일의 당신,가정/청소년,가족/대화,https://www.kobaco.co.kr/site/main/archive/advertising/5/13?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_01.jpg
1982,1982_02,대도약의 나래,경제사회/기타,국가경제,https://www.kobaco.co.kr/site/main/archive/advertising/5/12?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,,
1982,1982_03,모두가 주인,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/23?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_03.jpg
1982,1982_04,물가안정,경제사회/기타,국가경제,https://www.kobaco.co.kr/site/main/archive/advertising/5/24?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_04.jpg
1982,1982_05,반칙,사회공동체,타인배려/공공매너,https://www.kobaco.co.kr/site/main/archive/advertising/5/20?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_05.jpg
1982,1982_06,부주의,자연환경,불조심,https://www.kobaco.co.kr/site/main/archive/advertising/5/15?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_06.jpg
1982,1982_07,셋이서 가요,가정/청소년,가족계획,https://www.kobaco.co.kr/site/main/archive/advertising/5/17?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_07.jpg
1982,1982_08,손잡기,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/19?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_08.jpg
1982,1982_09,어린이는 어른의 거울,사회공동체,타인배려/공공매너,https://www.kobaco.co.kr/site/main/archive/advertising/5/26?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_09.jpg
1982,1982_10,얼룩진 자국,사회공동체,부정부패,https://www.kobaco.co.kr/site/main/archive/advertising/5/18?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_10.jpg
1982,1982_11,우리는 한 배를 타고 있습니다,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/21?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_11.jpg
1982,1982_12,우리의 영원한 정원,자연환경,환경보전,https://www.kobaco.co.kr/site/main/archive/advertising/5/22?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_12.jpg
1982,1982_13,일석사조,경제사회/기타,국가경제,https://www.kobaco.co.kr/site/main/archive/advertising/5/25?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_13.jpg
1982,1982_14,통일로 가는 길,경제사회/기타,통일,https://www.kobaco.co.kr/site/main/archive/advertising/5/16?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,O,1982_14.jpg
1982,1982_15,한 민족 한 핏줄,경제사회/기타,통일,https://www.kobaco.co.kr/site/main/archive/advertising/5/14?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1982&adtDefaultYear=false,,,,
1983,1983_01,결혼식,가정/청소년,가족계획,https://www.kobaco.co.kr/site/main/archive/advertising/5/38?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,O,1983_01.jpg
1983,1983_02,나라의 미래,가정/청소년,청소년,https://www.kobaco.co.kr/site/main/archive/advertising/5/42?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,,
1983,1983_03,내일의 주인공,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/37?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,O,1983_03.jpg
1983,1983_04,대식가,자연환경,불조심,https://www.kobaco.co.kr/site/main/archive/advertising/5/30?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,O,1983_04.jpg
1983,1983_05,돈,경제사회/기타,절약/소비,https://www.kobaco.co.kr/site/main/archive/advertising/5/36?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,O,1983_05.jpg
1983,1983_06,부끄러운 말,가정/청소년,가족/대화,https://www.kobaco.co.kr/site/main/archive/advertising/5/29?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,,
1983,1983_07,선진조국 창조,경제사회/기타,국가브랜드,https://www.kobaco.co.kr/site/main/archive/advertising/5/41?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,O,1983_07.jpg
1983,1983_08,우리아빠,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/31?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,O,1983_08.jpg
1983,1983_09,우리의 재산,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/40?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=falsee,,,,
1983,1983_10,전화기,사회공동체,타인배려/공공매너,https://www.kobaco.co.kr/site/main/archive/advertising/5/35?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,,
1983,1983_11,제2의 광복,경제사회/기타,통일,https://www.kobaco.co.kr/site/main/archive/advertising/5/34?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,O,1983_11.jpg
1983,1983_12,제2의 생산,자연환경,에너지 절약,https://www.kobaco.co.kr/site/main/archive/advertising/5/28?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,,
1983,1983_13,제인양,경제사회/기타,국가브랜드,https://www.kobaco.co.kr/site/main/archive/advertising/5/33?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,,
1983,1983_14,진짜질서,사회공동체,타인배려/공공매너,https://www.kobaco.co.kr/site/main/archive/advertising/5/39?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,O,1983_14.jpg
1983,1983_15,헌혈가족,공중보건/복지,헌혈,https://www.kobaco.co.kr/site/main/archive/advertising/5/32?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,O,1983_15.jpg
1983,1983_16,힘찬 전진,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/27?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1983&adtDefaultYear=false,,,,
1984,1984_01,공든탑,자연환경,불조심,https://www.kobaco.co.kr/site/main/archive/advertising/5/46?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1984&adtDefaultYear=false,,,O,1984_01.jpg
1984,1984_02,두 얼굴,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/52?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1984&adtDefaultYear=false,,,O,1984_02.jpg
1984,1984_03,무형의 재산,사회공동체,타인배려/공공매너,https://www.kobaco.co.kr/site/main/archive/advertising/5/53?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1984&adtDefaultYear=false,,,O,1984_03.jpg
1984,1984_04,문화유산,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/47?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1984&adtDefaultYear=false,,,O,1984_04.jpg
1984,1984_05,방심,가정/청소년,가족/대화,https://www.kobaco.co.kr/site/main/archive/advertising/5/45?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1984&adtDefaultYear=false,,,,
1984,1984_06,사랑의 실천,공중보건/복지,헌혈,https://www.kobaco.co.kr/site/main/archive/advertising/5/48?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1984&adtDefaultYear=false,,,O,1984_06.jpg
1984,1984_07,손기정,경제사회/기타,국가브랜드,https://www.kobaco.co.kr/site/main/archive/advertising/5/54?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1984&adtDefaultYear=false,,,,
1984,1984_08,오케스트라,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/59?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1984&adtDefaultYear=false,,,O,1984_08.jpg
1984,1984_09,저축의 생활화,경제사회/기타,절약/소비,https://www.kobaco.co.kr/site/main/archive/advertising/5/56?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1984&adtDefaultYear=false,,,O,1984_09.jpg
1984,1984_10,주의와 점검,가정/청소년,가족/대화,https://www.kobaco.co.kr/site/main/archive/advertising/5/50?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1984&adtDefaultYear=false,,,O,1984_10.jpg
1984,1984_11,질서는 능률,사회공동체,타인배려/공공매너,https://www.kobaco.co.kr/site/main/archive/advertising/5/60?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1984&adtDefaultYear=false,,,,
1984,1984_12,차선,사회공동체,교통안전,https://www.kobaco.co.kr/site/main/archive/advertising/5/55?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1984&adtDefaultYear=false,,,O,1984_12.jpg
1984,1984_13,청결 금메달,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/51?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1984&adtDefaultYear=false,,,O,1984_13.jpg
1984,1984_14,청소년 문제의 원점,가정/청소년,청소년,https://www.kobaco.co.kr/site/main/archive/advertising/5/57?cp=1&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1984&adtDefaultYear=false,,,O,1984_14.jpg
1984,1984_15,학창시절,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/44?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1984&adtDefaultYear=false,,,O,1984_15.jpg
1984,1984_16,한 마음,사회공동체,사회화합,https://www.kobaco.co.kr/site/main/archive/advertising/5/58?cp=46&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1984_16.jpg
1985,1985_01,계란차,사회공동체,교통안전,https://www.kobaco.co.kr/site/main/archive/advertising/5/68?cp=44&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1985_01.jpg
1985,1985_02,길,경제사회/기타,국가브랜드,https://www.kobaco.co.kr/site/main/archive/advertising/5/67?cp=45&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1985_02.jpg
1985,1985_03,미술시간,자연환경,불조심,https://www.kobaco.co.kr/site/main/archive/advertising/5/63?cp=45&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1985_03.jpg
1985,1985_04,새로운 출발,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/61?cp=45&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1985_04.jpg
1985,1985_05,앨범,가정/청소년,가족/대화,https://www.kobaco.co.kr/site/main/archive/advertising/5/71?cp=44&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1985_05.jpg
1985,1985_06,이웃사랑,공중보건/복지,헌혈,https://www.kobaco.co.kr/site/main/archive/advertising/5/62?cp=45&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1985_06.jpg
1985,1985_07,자녀에게 관심을,가정/청소년,가족/대화,https://www.kobaco.co.kr/site/main/archive/advertising/5/70?cp=44&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1985_07.jpg
1985,1985_08,자린고비 이야기,경제사회/기타,절약/소비,https://www.kobaco.co.kr/site/main/archive/advertising/5/69?cp=44&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1985_08.jpg
1985,1985_09,종이 한 장이 바로 외화,자연환경,에너지 절약,https://www.kobaco.co.kr/site/main/archive/advertising/5/64?cp=45&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1985_09.jpg
1985,1985_10,찻잔,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/72?cp=44&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,,
1985,1985_11,찾아가지 않는 물건들,경제사회/기타,절약/소비,https://www.kobaco.co.kr/site/main/archive/advertising/5/65?cp=45&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1985_11.jpg
1985,1985_12,학창생활,가정/청소년,청소년,https://www.kobaco.co.kr/site/main/archive/advertising/5/73?cp=44&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1985_12.jpg
1985,1985_13,호돌이,자연환경,환경보전,https://www.kobaco.co.kr/site/main/archive/advertising/5/66?cp=45&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,,
1986,1986_01,1000억불시대,경제사회/기타,국가경제,https://www.kobaco.co.kr/site/main/archive/advertising/5/75?cp=44&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1986_01.jpg
1986,1986_02,간첩신고,사회공동체,안전,https://www.kobaco.co.kr/site/main/archive/advertising/5/94?cp=41&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,,
1986,1986_03,경제,경제사회/기타,국가경제,https://www.kobaco.co.kr/site/main/archive/advertising/5/83?cp=43&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1986_03.jpg
1986,1986_04,꿈나무,자연환경,한강,https://www.kobaco.co.kr/site/main/archive/advertising/5/86?cp=42&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1986_04.jpg
1986,1986_05,노젓는 노인,자연환경,한강,https://www.kobaco.co.kr/site/main/archive/advertising/5/89?cp=42&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1986_05.jpg
1986,1986_06,다시와본 한강,자연환경,한강,https://www.kobaco.co.kr/site/main/archive/advertising/5/85?cp=42&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1986_06.jpg
1986,1986_07,먼지,자연환경,환경보전,https://www.kobaco.co.kr/site/main/archive/advertising/5/77?cp=43&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1986_07.jpg
1986,1986_08,문화유산,경제사회/기타,국가브랜드,https://www.kobaco.co.kr/site/main/archive/advertising/5/79?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1986&adtDefaultYear=false,,,O,1986_08.jpg
1986,1986_09,문화창달,경제사회/기타,국가브랜드,https://www.kobaco.co.kr/site/main/archive/advertising/5/87?cp=42&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1986_09.jpg
1986,1986_10,미꾸라지,사회공동체,교통안전,https://www.kobaco.co.kr/site/main/archive/advertising/5/78?cp=43&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1986_10.jpg
1986,1986_11,바른언어생활,사회공동체,언어생활,https://www.kobaco.co.kr/site/main/archive/advertising/5/93?cp=41&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1986_11.jpg
1986,1986_12,백로는 날아들고,자연환경,한강,https://www.kobaco.co.kr/site/main/archive/advertising/5/84?cp=42&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1986_12.jpg
1986,1986_13,새로운 출발,자연환경,한강,https://www.kobaco.co.kr/site/main/archive/advertising/5/80?cp=2&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1986&adtDefaultYear=false,,,O,1986_13.jpg
1986,1986_14,손과 마음을 보탭시다,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/92?cp=41&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1986_14.jpg
1986,1986_15,오케스트라,자연환경,불조심,https://www.kobaco.co.kr/site/main/archive/advertising/5/76?cp=3&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtManufactureYear=1986&adtDefaultYear=false,,,,
1986,1986_16,우리모두 안전요원,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/90?cp=42&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1986_16.jpg
1986,1986_17,인공위성,자연환경,한강,https://www.kobaco.co.kr/site/main/archive/advertising/5/88?cp=42&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1986_17.jpg
1986,1986_18,주의와 점검,사회공동체,안전,https://www.kobaco.co.kr/site/main/archive/advertising/5/81?cp=43&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1986_18.jpg
1986,1986_19,톱니바퀴,사회공동체,타인배려/공공매너,https://www.kobaco.co.kr/site/main/archive/advertising/5/91?cp=42&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=falsee,,,O,1986_19.jpg
1986,1986_20,한 자녀 가정,가정/청소년,가족계획,https://www.kobaco.co.kr/site/main/archive/advertising/5/74?cp=44&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1986_20.jpg
1986,1986_21,헌혈,공중보건/복지,헌혈,https://www.kobaco.co.kr/site/main/archive/advertising/5/96?cp=41&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1986_21.jpg
1986,1986_22,휴식터,자연환경,한강,https://www.kobaco.co.kr/site/main/archive/advertising/5/82?cp=43&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,O,1986_22.jpg
1987,1987_01,건강한 사회,경제사회/기타,국민의식/나라사랑,https://www.kobaco.co.kr/site/main/archive/advertising/5/99?cp=41&pageSize=8&sortDirection=DESC&arcUse=true&arcCategory=5&metaCode1=broadcast&adtDefaultYear=false,,,,
