번호,년도,대분류,중분류,소분류,광고주,제품
태평양001,1967,화장품 및 보건용품,여성 색조화장품,파우더,태평양화학,코-티粉
태평양002,1967,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,몽블랑 크림
태평양003,1966,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,2월 달력
태평양004,1967,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,5월 달력
태평양005,1968,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,3월 달력
태평양006,1969,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,11월 달력
태평양007,1963,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,태평양 화장품
태평양008,1975,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,1월 달력
태평양009,1975,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,1월 달력
태평양010,1975,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,1-2월 달력
태평양011,1975,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,아모레 타미나화장품 11-12월 달력
태평양012,1981,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,명화시리즈
태평양013,1982,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,명화시리즈
태평양014,1983,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,외국풍경
태평양015,1984,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,외국풍경
태평양016,1985,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,꽃시리즈
태평양017,1986,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,꽃시리즈
태평양018,1987,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,꽃시리즈
태평양019,1988,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,명화시리즈
태평양020,1989,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,새시리즈
태평양021,1990,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,새시리즈
태평양022,1993,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,9월 달력
태평양023,1993,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,5월 달력
태평양024,1998,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,6월 달력
태평양025,1997,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,7월 달력
태평양026,1995,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,8월 달력
태평양027,1995,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,표지
태평양028,1991,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,꽃시리즈
태평양029,1992,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,꽃시리즈
태평양030,1993,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,일러스트
태평양031,2003,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,표지
태평양032,2005,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,표지
태평양033,2006,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,표지
태평양034,2002,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,12월 달력
태평양035,2003,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,4월 달력
태평양036,1963,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,ABC화장품 
태평양037,1963,화장품 및 보건용품,여성 색조화장품,파우더,태평양화학,리도 분백분
태평양038,1963,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,ABC화장품
태평양039,1963,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,오스카 밀크 로션
태평양040,1963,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,미용재료점
태평양041,1963,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,ABC파라솔 크림
태평양042,1972,제약 및 의료,"백신,구충 및 살충제",살충 및 방충제,태평양화학,에가탄 모기향
태평양043,1972,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,하이톤 파라솔 로션
태평양045,1972,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,하이톤 화장품
태평양046,1972,제약 및 의료,소화위장약,변비치료제,태평양화학,베르돈 설사약
태평양047,1972,화장품 및 보건용품,여성 기초화장품,여성용 팩류,태평양화학,하이톤 마스크팩
태평양049,1972,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,미용소크림
태평양050,1973,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,하이톤
태평양051,1973,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,하이톤 반트롤크림
태평양052,1973,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,하이톤 화인씨크림
태평양053,1973,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업공고,태평양화학,방문판매품
태평양054,1973,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,하이톤 뷰 러브
태평양055,1974,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,아모레 타미나
태평양056,1974,제약 및 의료,두피 및 피부용제,여드름 치료제,태평양화학,여드름 치료제 A.A 외
태평양057,1975,제약 및 의료,"백신,구충 및 살충제",살충 및 방충제,태평양화학,모기향 외
태평양058,1974,화장품 및 보건용품,모발 및 목욕용제,"샴푸,린스",태평양화학,타미나 레몬 샴푸
태평양059,1974,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,태평양화학,타미나 립스틱
태평양060,1974,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,바이스터
태평양061,1974,제약 및 의료,제약 및 의료 기타,제약 및 의료 제품종합,태평양화학,태평양 의약품
태평양062,1975,화장품 및 보건용품,방향 화장품,성인용 향수,태평양화학,아모레 타미나 향수
태평양063,1975,화장품 및 보건용품,화장품 및 보건용품 기타,화장품 및 보건용품 기업PR,태평양화학,2월호 표지
태평양064,1976,제약 및 의료,생리피임 및 치질용약,생리피임및 치질용약 기타,태평양화학,가이날
태평양065,1976,제약 및 의료,"백신,구충 및 살충제",구충제,태평양화학,구충제 벤다솔
태평양066,1976,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,아모레 타미나 아이라이너
태평양067,1977,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,아모레 미보라
태평양068,1977,화장품 및 보건용품,여성 기초화장품,여성 기초화장품 제품종합,태평양화학,아모레 선물세트
태평양069,1977,화장품 및 보건용품,모발 및 목욕용제,정발료 및 헤어스타일링,태평양화학,아모레 헤어칼라
태평양070,1977,패션,패션 신변용품,스타킹,태평양화학,뉴영스타 팬티호스
태평양071,1977,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,뷰럭스 보나르 화장품
태평양072,1977,제약 및 의료,생리피임 및 치질용약,생리피임및 치질용약 기타,태평양화학,가이나
태평양073,1977,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,삼미화장품
태평양074,1978,화장품 및 보건용품,모발 및 목욕용제,"샴푸,린스",태평양화학,아모레 푸로틴 샴푸
태평양075,1978,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,태평양화학,미보라 립스틱
태평양076,1978,화장품 및 보건용품,남성 화장품,남성 기초화장품,태평양화학,쾌남
태평양077,1978,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,미보라 써니 크림로션
태평양078,1978,화장품 및 보건용품,방향 화장품,성인용 향수,태평양화학,아모레 은초롱 향수
태평양079,1978,패션,내의류,남녀 기초의류,태평양화학,라보라 란제리
태평양080,1979,제약 및 의료,감기약,기침감기약,태평양화학,브론치쿰
태평양082,1979,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,라보라
태평양083,1979,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,프라몬
태평양084,1979,제약 및 의료,생리피임 및 치질용약,생리피임및 치질용약 기타,태평양화학,알보칠
태평양085,1979,화장품 및 보건용품,방향 화장품,성인용 향수,태평양화학,은초롱 향수
태평양086,1979,제약 및 의료,"백신,구충 및 살충제",살충 및 방충제,태평양화학,모노탄F
태평양087,1979,패션,스포츠 전문복,수영복,태평양화학,라보라 수영복
태평양088,1979,화장품 및 보건용품,구강용품,치약,태평양화학,삼미비누
태평양089,1979,화장품 및 보건용품,"유,아동용 화장 및 세제","유,아동용 로션 및 크림",태평양화학,베이비 화장품
태평양090,1979,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,미보라 레몬 크림로션
태평양091,1979,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,미보라 로젤 크림
태평양092,1979,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,수미란
태평양093,1981,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,아모레 부로아
태평양094,1981,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,태평양화학,부로아-모이스처 메이컵
태평양095,1981,화장품 및 보건용품,세제류,섬유유연제,태평양화학,올올이
태평양096,1981,제약 및 의료,감기약,기침감기약,태평양화학,부론치콤
태평양097,1981,패션,내의류,기능성 내의,태평양화학,라보라 밍콜 브라거들
태평양098,1981,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,화니핀
태평양099,1981,화장품 및 보건용품,세제류,세척제,태평양화학,방글방글
태평양100,1981,패션,내의류,란제리 및 가운,태평양화학,라보라 다니엘라-나이트 가운
태평양101,1981,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,썬쿨 스킨로션
태평양102,1981,제약 및 의료,근육 및 신경통제,신경통 및 류마티스제,태평양화학,메르반 500
태평양103,1981,화장품 및 보건용품,모발 및 목욕용제,"샴푸,린스",태평양화학,아모레 푸로틴 샴푸
태평양104,1981,화장품 및 보건용품,세제류,표백제,태평양화학,태평약 락스
태평양105,1981,패션,스포츠 전문복,수영복,태평양화학,2웨이
태평양106,1981,제약 및 의료,"백신,구충 및 살충제",살충 및 방충제,태평양화학,모노탄
태평양107,1981,화장품 및 보건용품,모발 및 목욕용제,목욕제,태평양화학,아모레 보디제품
태평양108,1981,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,부로아 밍클크림
태평양109,1981,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,태평양화학,미니 립스틱
태평양110,1982,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,태평양화학,화니핀 메이컵
태평양111,1982,화장품 및 보건용품,남성 화장품,남성 기초화장품,태평양화학,탁틴-남성화장품
태평양112,1982,화장품 및 보건용품,구강용품,치약,태평양화학,클로즈업
태평양113,1982,화장품 및 보건용품,모발 및 목욕용제,"샴푸,린스",태평양화학,로젤샴푸
태평양114,1982,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,베리칸 크림
태평양115,1982,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,샤워스킨
태평양116,1982,화장품 및 보건용품,모발 및 목욕용제,목욕제,태평양화학,부로아 보디크렌저
태평양117,1982,화장품 및 보건용품,구강용품,치약,태평양화학,시그날 2
태평양118,1982,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,라보라 핑크 나이트
태평양119,1982,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,리바이탈
태평양120,1982,음료 및 기호식품,비알콜음료,"홍차,녹차음료",태평양화학,설록차
태평양121,1985,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,바이오레몬
태평양122,1985,화장품 및 보건용품,남성 화장품,남성 기초화장품,태평양화학,미스쾌남
태평양123,1985,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,리바이탈 아쿠아
태평양124,1985,화장품 및 보건용품,구강용품,치약,태평양화학,메디안 불소치약
태평양125,1985,화장품 및 보건용품,방향 화장품,샤워코롱,태평양화학,"후로랄향수, 샤워코롱"
태평양126,1985,화장품 및 보건용품,모발 및 목욕용제,"샴푸,린스",태평양화학,로젤샴푸
태평양127,1985,화장품 및 보건용품,세제류,세탁세제,태평양화학,깨끗이
태평양128,1985,화장품 및 보건용품,모발 및 목욕용제,"샴푸,린스",태평양화학,하이프로틴 샴푸린스
태평양129,1985,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,나그랑
태평양130,1984,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,미보라 쿨링
태평양131,1984,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,후레쉬 스킨케어
태평양132,1984,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,스템3
태평양133,1984,화장품 및 보건용품,남성 화장품,남성 기초화장품,태평양화학,쾌남 루트
태평양134,1984,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,나그랑
태평양135,1984,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,리바이탈 바이오
태평양136,1984,음료 및 기호식품,비알콜음료,"홍차,녹차음료",태평양화학,제주 설록차
태평양137,1984,제약 및 의료,대사성의약,자양강장제,태평양화학,파낙스 디
태평양138,1984,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,에버틴스
태평양139,1984,패션,내의류,남녀 기초의류,태평양화학,원더거들
태평양140,1984,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,삼미진
태평양141,1986,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,리바이탈 바이오
태평양142,1986,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,탐스핀
태평양143,1986,화장품 및 보건용품,남성 화장품,남성 기초화장품,태평양화학,스탬3
태평양144,1986,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,태평양화학,탐스핀 메이컵
태평양145,1986,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,후리앤 후리
태평양146,1986,화장품 및 보건용품,모발 및 목욕용제,"샴푸,린스",태평양화학,모린
태평양147,1986,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,태평양화학,립스틱 듀오
태평양148,1986,제약 및 의료,대사성의약,대사성의약 기타,태평양화학,만유
태평양149,1986,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,나그랑 스파
태평양150,1986,화장품 및 보건용품,방향 화장품,성인용 향수,태평양화학,상티망
태평양151,1986,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,리바이탈
태평양152,1986,화장품 및 보건용품,남성 화장품,남성 기초화장품,태평양화학,미스쾌남
태평양153,1986,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,아모레 리바이탈 바이오레몬
태평양154,1986,화장품 및 보건용품,모발 및 목욕용제,"샴푸,린스",태평양화학,하이프로틴 샴푸린스
태평양155,1988,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,아모레 설화
태평양156,1988,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,만유
태평양157,1988,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,라보라
태평양158,1988,화장품 및 보건용품,남성 화장품,남성 기초화장품,태평양화학,쾌남골드
태평양159,1988,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,탐스핀
태평양160,1988,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,탐스핀 화이트
태평양161,1988,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,태평양화학,탐스핀 여름 메이크업
태평양162,1988,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,탐스핀 쿨
태평양163,1988,화장품 및 보건용품,모발 및 목욕용제,목욕제,태평양화학,나그랑 스파 보디크렌저
태평양164,1988,화장품 및 보건용품,모발 및 목욕용제,"샴푸,린스",태평양화학,코롱 향수샴푸
태평양165,1988,화장품 및 보건용품,여성 색조화장품,트윈케익,태평양화학,탐스핀 트윈케익
태평양166,1988,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,탐스핀 쿨
태평양167,1988,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,탐스핀 에버그린
태평양168,1988,화장품 및 보건용품,모발 및 목욕용제,"샴푸,린스",태평양화학,아모레코롱
태평양169,1988,화장품 및 보건용품,주니어 화장품,주니어 기초화장품,태평양화학,팅커벨
태평양170,1988,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,탐스핀레몬
태평양171,1988,화장품 및 보건용품,여성 색조화장품,여성 색조화장품 제품종합,태평양화학,탐스핀메이크업
태평양172,1988,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,태평양화학,봄탐스핀메이크업
태평양173,1988,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,아모레아이리페어젤
태평양174,1988,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,태평양화학,탐스핀메이크업
태평양175,1988,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,탐스핀
태평양176,1989,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,아모레 바이오좀 에센스
태평양177,1989,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,탐스핀-겨울 피부
태평양178,1989,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,순정
태평양179,1989,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,탐스핀 레몬
태평양180,1989,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,자연발색 탐스핀
태평양181,1989,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,바이오좀 
태평양182,1989,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,에버그린
태평양183,1989,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,태평양화학,탐스핀 립스틱
태평양184,1989,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,탐스핀 에버그린
태평양185,1989,화장품 및 보건용품,여성 기초화장품,여성 기초화장품 제품종합,태평양화학,여름의 두얼굴
태평양186,1989,패션,내의류,남녀 기초의류,태평양화학,라보라브라
태평양187,1989,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,에버그린
태평양188,1989,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,탐스핀 에버그린
태평양189,1989,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,태평양화학,탐스핀-여름메이컵
태평양190,1989,화장품 및 보건용품,남성 화장품,남성 기초화장품,태평양화학,미스쾌남
태평양191,1989,화장품 및 보건용품,모발 및 목욕용제,목욕제,태평양화학,코롱
태평양192,1989,화장품 및 보건용품,여성 색조화장품,트윈케익,태평양화학,자회선 3단 차단-탐스핀
태평양193,1989,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,미로 O2
태평양194,1989,패션,내의류,남녀 기초의류,태평양화학,미스탑
태평양195,1989,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,스템3
태평양196,1989,화장품 및 보건용품,여성 색조화장품,여성 색조화장품기타,태평양화학,칼라미싱
태평양197,1989,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,아모레 설화
태평양198,1989,화장품 및 보건용품,여성 기초화장품,여성 기초화장품 제품종합,태평양화학,아모레 선물세트
태평양199,1989,화장품 및 보건용품,모발 및 목욕용제,"샴푸,린스",태평양화학,스텝트리트먼트
태평양200,1989,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,탐스핀크림로숀
태평양201,1991,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,아모레 미로쿨
태평양202,1991,화장품 및 보건용품,여성 색조화장품,트윈케익,태평양화학,썬베이 트웬케익
태평양203,1991,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,사포란
태평양204,1991,화장품 및 보건용품,모발 및 목욕용제,목욕제,태평양화학,에버그린 보디
태평양205,1991,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,베스카인
태평양206,1991,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,프리메라
태평양207,1991,화장품 및 보건용품,여성 기초화장품,여성 기초화장품 제품종합,태평양화학,라무르
태평양208,1991,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,뷰티알로에
태평양209,1991,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,베스카인 골드
태평양210,1991,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,미로
태평양211,1991,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,프리메라
태평양212,1991,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,사포란
태평양213,1992,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학, 라무르
태평양214,1992,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,에버그린
태평양215,1992,화장품 및 보건용품,남성 화장품,남성 기초화장품,태평양화학,쾌남진
태평양216,1992,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,지지순
태평양217,1992,화장품 및 보건용품,모발 및 목욕용제,정발료 및 헤어스타일링,태평양화학,미스토픽
태평양218,1992,화장품 및 보건용품,남성 화장품,남성 기초화장품,태평양화학,쾌남진
태평양219,1992,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,아모레 마몽드
태평양220,1992,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,핑크
태평양221,1992,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,에버그린 
태평양222,1992,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,프리메라
태평양223,1992,화장품 및 보건용품,모발 및 목욕용제,"샴푸,린스",태평양화학,"아모레 샴푸,린스"
태평양224,1992,화장품 및 보건용품,여성 색조화장품,눈 및 입술 색조화장품,태평양화학,라무르UV썬메이컵
태평양225,1992,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,베스카인
태평양226,1992,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,라무르 에버그린
태평양228,1992,제약 및 의료,대사성의약,대사성의약 기타,태평양화학,녹용인삼
태평양229,1992,화장품 및 보건용품,남성 화장품,남성 기초화장품,태평양화학,쾌남진
태평양230,1992,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,마몽드UV화이트닝
태평양231,1992,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,미로
태평양232,1992,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,미로썬베일
태평양234,1992,화장품 및 보건용품,모발 및 목욕용제,"샴푸,린스",태평양화학,투웨이 덴트롤 샴푸
태평양235,1992,음료 및 기호식품,비알콜음료,"홍차,녹차음료",태평양화학,설록차
태평양236,1992,화장품 및 보건용품,여성 기초화장품,여성 일반기초화장품,태평양화학,지지아띠랑스
