등록연월,시도명,신규등록수
1993-10,서울특별시,85
1993-10,전라북도,85
1998-07,경상북도,16
1999-10,부산광역시,1
2000-02,서울특별시,43
2000-05,서울특별시,1
2002-01,부산광역시,66
2002-11,서울특별시,30
2003-03,경기도,100
2003-03,서울특별시,72
2003-04,충청북도,72
2003-05,충청남도,11
2003-06,경기도,78
2003-06,광주광역시,1
2003-09,전라북도,36
2004-04,서울특별시,43
2004-09,경상북도,31
2004-09,대구광역시,49
2004-09,서울특별시,43
2005-04,경상남도,40
2005-05,대구광역시,84
2005-09,서울특별시,84
2005-12,경기도,84
2006-03,인천광역시,43
2006-05,경기도,31
2006-06,대구광역시,49
2006-07,경기도,31
2006-09,서울특별시,85
2007-01,서울특별시,49
2007-05,대전광역시,16
2007-05,인천광역시,36
2007-08,서울특별시,36
2007-10,충청남도,78
2008-04,서울특별시,84
2008-04,충청북도,72
2008-05,충청남도,85
2008-06,부산광역시,100
2008-06,서울특별시,84
2008-07,서울특별시,168
2008-07,전라남도,100
2008-08,서울특별시,36
2008-09,서울특별시,36
2008-10,경기도,68
2008-10,인천광역시,66
2008-11,대구광역시,1
2008-11,부산광역시,1
2008-12,대구광역시,30
2008-12,부산광역시,78
2009-01,경상북도,84
2009-01,서울특별시,115
2009-03,대구광역시,85
2009-03,세종특별자치시,85
2009-04,서울특별시,150
2009-05,서울특별시,60
2009-06,인천광역시,84
2009-06,충청북도,100
2009-07,경기도,100
2009-07,경상남도,84
2009-07,서울특별시,114
2009-08,경기도,150
2009-08,대전광역시,16
2009-08,서울특별시,72
2009-09,대구광역시,143
2009-09,서울특별시,84
2009-10,경기도,121
2009-10,인천광역시,34
2009-10,전라북도,36
2009-11,서울특별시,168
2009-12,서울특별시,68
2010-01,서울특별시,234
2010-02,경상남도,36
2010-03,경기도,162
2010-03,대구광역시,42
2010-03,대전광역시,36
2010-03,부산광역시,66
2010-03,서울특별시,302
2010-04,경기도,202
2010-04,서울특별시,84
2010-04,전라북도,100
2010-05,서울특별시,85
2010-07,서울특별시,168
2010-07,인천광역시,67
2010-08,서울특별시,127
2010-09,전라남도,100
2010-10,경기도,106
2010-11,경기도,1
2010-11,서울특별시,140
2010-12,경기도,40
2010-12,경상남도,84
2010-12,경상북도,1
2010-12,서울특별시,16
2011-02,서울특별시,84
2011-03,광주광역시,1
2011-03,서울특별시,240
2011-05,경기도,42
2011-05,부산광역시,100
2011-05,서울특별시,66
2011-05,인천광역시,40
2011-06,대구광역시,84
2011-06,서울특별시,84
2011-07,경상남도,36
2011-07,서울특별시,69
2011-08,경상남도,40
2011-08,대전광역시,42
2011-08,서울특별시,127
2011-08,제주특별자치도,1
2011-09,강원도,85
2011-10,경기도,34
2011-10,서울특별시,84
2011-11,경기도,136
2011-11,서울특별시,182
2011-12,경기도,49
2011-12,경상남도,59
2011-12,서울특별시,168
2011-12,인천광역시,89
2012-01,강원도,72
2012-01,경기도,42
2012-01,부산광역시,36
2012-01,서울특별시,152
2012-02,충청북도,100
2012-03,경기도,178
2012-03,부산광역시,36
2012-03,서울특별시,99
2012-04,경기도,218
2012-04,서울특별시,163
2012-04,충청북도,72
2012-05,서울특별시,115
2012-06,서울특별시,258
2012-06,전라남도,100
2012-07,경기도,84
2012-07,경상남도,31
2012-07,대구광역시,35
2012-07,서울특별시,286
2012-07,전라북도,31
2012-08,경기도,107
2012-08,서울특별시,172
2012-08,울산광역시,84
2012-09,경기도,49
2012-09,서울특별시,104
2012-10,경기도,100
2012-10,인천광역시,72
2012-11,경기도,370
2012-11,경상북도,16
2012-11,부산광역시,36
2012-11,서울특별시,151
2012-12,경기도,40
2012-12,서울특별시,84
2013-01,서울특별시,84
2013-02,경기도,95
2013-02,대구광역시,35
2013-02,서울특별시,146
2013-02,전라북도,100
2013-03,경상남도,40
2013-03,서울특별시,67
2013-03,전라남도,84
2013-03,충청남도,100
2013-04,경기도,136
2013-04,대구광역시,1
2013-04,서울특별시,127
2013-04,인천광역시,31
2013-05,경기도,208
2013-05,서울특별시,52
2013-06,경상남도,40
2013-06,대구광역시,84
2013-06,대전광역시,131
2013-06,서울특별시,86
2013-07,경기도,49
2013-07,부산광역시,66
2013-07,서울특별시,36
2013-07,인천광역시,1
2013-08,경기도,202
2013-09,경기도,49
2013-09,경상북도,100
2013-09,서울특별시,116
2013-09,인천광역시,88
2013-09,전라남도,84
2013-10,대전광역시,36
2013-10,부산광역시,34
2013-10,서울특별시,89
2013-11,경기도,141
2013-11,서울특별시,49
2013-12,경기도,41
2013-12,서울특별시,112
2013-12,충청북도,40
2014-01,경기도,85
2014-01,서울특별시,84
2014-02,경기도,197
2014-02,서울특별시,153
2014-02,충청북도,100
2014-03,경기도,190
2014-03,서울특별시,68
2014-03,인천광역시,144
2014-03,충청남도,78
2014-04,부산광역시,72
2014-04,서울특별시,78
2014-04,전라남도,84
2014-05,경기도,68
2014-05,경상북도,16
2014-05,대구광역시,118
2014-05,부산광역시,84
2014-05,서울특별시,108
2014-05,전라북도,84
2014-06,경기도,31
2014-06,서울특별시,38
2014-06,인천광역시,72
2014-07,경기도,2
2014-07,서울특별시,3
2014-07,전라남도,84
2014-07,충청남도,1
2014-08,경기도,32
2014-08,서울특별시,67
2014-09,경기도,78
2014-09,대구광역시,72
2014-09,서울특별시,1
2014-09,전라남도,84
2014-09,충청북도,1
2014-10,경기도,152
2014-10,경상북도,40
2014-10,광주광역시,84
2014-10,대전광역시,85
2014-10,부산광역시,100
2014-10,서울특별시,1
2014-10,인천광역시,1
2014-11,경기도,72
2014-11,대전광역시,1
2014-11,서울특별시,5
2014-12,경기도,1
2014-12,대전광역시,1
2014-12,서울특별시,255
2015-01,경기도,2
2015-01,대구광역시,84
2015-01,서울특별시,82
2015-01,제주특별자치도,84
2015-02,경기도,1
2015-02,경상북도,100
2015-02,광주광역시,84
2015-03,경기도,1
2015-03,경상북도,1
2015-03,대전광역시,1
2015-03,서울특별시,2
2015-04,경기도,3
2015-04,광주광역시,1
2015-04,부산광역시,72
2015-04,서울특별시,3
2015-04,전라북도,1
2015-05,경기도,67
2015-05,경상북도,1
2015-05,대구광역시,84
2015-05,서울특별시,122
2015-05,충청북도,2
2015-06,경기도,1
2015-06,경상북도,1
2015-06,대전광역시,1
2015-06,서울특별시,80
2015-06,인천광역시,1
2015-07,경기도,55
2015-07,경상남도,36
2015-07,경상북도,1
2015-07,대구광역시,85
2015-07,부산광역시,101
2015-07,서울특별시,89
2015-07,전라남도,2
2015-07,전라북도,69
2015-08,경기도,3
2015-08,대구광역시,85
2015-08,대전광역시,84
2015-08,전라북도,1
2015-09,경기도,5
2015-09,경상북도,100
2015-09,광주광역시,1
2015-09,대구광역시,1
2015-09,부산광역시,85
2015-09,서울특별시,5
2015-09,세종특별자치시,1
2015-09,충청남도,1
2015-09,충청북도,84
2015-10,강원도,3
2015-10,경기도,76
2015-10,대구광역시,100
2015-10,대전광역시,1
2015-10,부산광역시,1
2015-10,서울특별시,39
2015-10,충청북도,1
2015-11,경기도,5
2015-11,대구광역시,2
2015-11,부산광역시,31
2015-11,서울특별시,2
2015-11,인천광역시,1
2015-11,전라남도,1
2015-11,충청남도,4
2015-12,경기도,4
2015-12,경상남도,152
2015-12,경상북도,1
2015-12,부산광역시,143
2015-12,서울특별시,5
2015-12,전라북도,1
2015-12,충청북도,1
2016-01,경기도,2
2016-01,경상북도,1
2016-01,서울특별시,3
2016-02,경기도,5
2016-02,부산광역시,84
2016-02,서울특별시,52
2016-03,경기도,140
2016-03,경상북도,100
2016-03,대전광역시,1
2016-03,서울특별시,3
2016-03,제주특별자치도,1
2016-03,충청북도,2
2016-04,경기도,1
2016-04,대구광역시,78
2016-04,서울특별시,73
2016-05,경기도,6
2016-05,대전광역시,1
2016-05,서울특별시,4
2016-06,경기도,3
2016-06,대구광역시,2
2016-06,부산광역시,1
2016-06,서울특별시,5
2016-06,충청남도,1
2016-06,충청북도,1
2016-07,강원도,1
2016-07,경기도,2
2016-07,광주광역시,1
2016-07,대구광역시,2
2016-07,부산광역시,1
2016-07,서울특별시,3
2016-07,인천광역시,1
2016-07,충청북도,2
2016-08,경기도,2
2016-08,부산광역시,1
2016-08,서울특별시,3
2016-08,전라남도,1
2016-09,경기도,5
2016-09,대구광역시,1
2016-09,대전광역시,1
2016-09,서울특별시,2
2016-10,경기도,3
2016-10,광주광역시,1
2016-10,부산광역시,1
2016-10,서울특별시,5
2016-10,전라남도,1
2016-11,강원도,1
2016-11,경기도,4
2016-11,경상북도,2
2016-11,대전광역시,1
2016-11,부산광역시,1
2016-11,서울특별시,10
2016-11,전라남도,1
2016-12,광주광역시,1
2016-12,서울특별시,3
2016-12,인천광역시,2
2016-12,전라북도,1
2016-12,충청남도,1
2017-01,대구광역시,1
2017-01,서울특별시,3
2017-01,전라북도,1
2017-02,강원도,1
2017-02,경기도,1
2017-02,경상남도,1
2017-02,서울특별시,2
2017-02,인천광역시,1
2017-03,경기도,2
2017-03,대전광역시,1
2017-03,부산광역시,1
2017-03,서울특별시,2
2017-03,충청북도,1
2017-04,경기도,5
2017-04,부산광역시,1
2017-04,서울특별시,1
2017-04,인천광역시,1
2017-04,전라남도,1
2017-04,충청북도,1
2017-05,경기도,2
2017-05,경상남도,1
2017-05,서울특별시,3
2017-05,전라남도,1
2017-06,경기도,3
2017-06,경상북도,1
2017-06,서울특별시,4
2017-06,울산광역시,1
2017-06,인천광역시,2
2017-06,충청북도,1
2017-07,경기도,1
2017-07,경상북도,1
2017-07,광주광역시,1
2017-07,대구광역시,1
2017-07,대전광역시,1
2017-07,서울특별시,6
2017-07,인천광역시,2
2017-08,경기도,3
2017-08,서울특별시,6
2017-08,인천광역시,1
2017-08,전라북도,1
2017-09,경기도,3
2017-09,대구광역시,1
2017-09,서울특별시,4
2017-09,인천광역시,1
2017-09,충청북도,1
2017-10,경기도,1
2017-10,경상남도,32
2017-10,서울특별시,1
2017-11,광주광역시,1
2017-11,대구광역시,2
2017-11,서울특별시,1
2017-11,인천광역시,1
2017-11,전라남도,1
2017-12,강원도,1
2017-12,경기도,4
2017-12,경상북도,1
2017-12,광주광역시,1
2017-12,서울특별시,3
2017-12,전라남도,1
2017-12,충청남도,1
2018-01,경기도,2
2018-01,광주광역시,1
2018-01,대구광역시,1
2018-01,서울특별시,4
2018-01,인천광역시,1
2018-02,경기도,1
2018-02,경상남도,1
2018-02,광주광역시,1
2018-02,대구광역시,1
2018-02,전라북도,1
2018-03,경기도,1
2018-03,서울특별시,4
2018-03,충청남도,2
2018-04,경기도,3
2018-04,서울특별시,5
2018-05,경기도,3
2018-05,서울특별시,4
2018-05,제주특별자치도,1
2018-05,충청북도,1
2018-06,경기도,1
2018-06,서울특별시,2
2018-06,인천광역시,1
2018-07,경기도,4
2018-07,대전광역시,1
2018-07,부산광역시,1
2018-07,서울특별시,5
2018-07,인천광역시,2
2018-07,충청북도,1
2018-08,경기도,2
2018-08,서울특별시,4
2018-08,전라남도,1
2018-08,충청북도,1
2018-09,경기도,3
2018-09,경상남도,1
2018-09,광주광역시,1
2018-09,대구광역시,2
2018-09,서울특별시,7
2018-09,전라북도,1
2018-10,경기도,4
2018-10,서울특별시,6
2018-10,제주특별자치도,40
2018-11,경기도,2
2018-11,부산광역시,1
2018-11,서울특별시,7
2018-11,전라남도,1
2018-11,전라북도,1
2018-12,경기도,3
2018-12,경상남도,1
2018-12,서울특별시,3
2018-12,인천광역시,1
2019-01,경기도,1
2019-01,서울특별시,3
2019-01,인천광역시,1
2019-02,경기도,2
2019-02,서울특별시,2
2019-03,경기도,1
2019-03,서울특별시,6
2019-04,경기도,3
2019-04,경상남도,1
2019-04,광주광역시,1
2019-04,대구광역시,1
2019-04,서울특별시,2
2019-04,인천광역시,1
2019-05,경기도,16
2019-05,경상남도,1
2019-05,부산광역시,1
2019-05,서울특별시,5
2019-05,인천광역시,1
2019-06,경기도,6
2019-06,경상남도,1
2019-06,대전광역시,1
2019-06,부산광역시,1
2019-06,서울특별시,6
2019-06,전라남도,1
2019-06,전라북도,1
2019-06,충청남도,1
2019-06,충청북도,1
2019-07,경기도,5
2019-07,경상남도,1
2019-07,대전광역시,1
2019-07,부산광역시,3
2019-07,서울특별시,5
2019-08,경기도,3
2019-08,광주광역시,1
2019-08,대전광역시,1
2019-08,서울특별시,6
2019-08,충청남도,1
2019-09,경기도,3
2019-09,서울특별시,9
2019-09,충청남도,1
2019-10,경기도,6
2019-10,대구광역시,1
2019-10,서울특별시,6
2019-10,전라북도,1
2019-10,충청북도,1
2019-11,경기도,4
2019-11,서울특별시,4
2019-11,전라남도,1
2019-12,경기도,1
2019-12,부산광역시,1
2019-12,서울특별시,5
2019-12,인천광역시,1
2020-01,경기도,3
2020-01,서울특별시,4
2020-01,인천광역시,1
2020-02,경기도,2
2020-02,서울특별시,2
2020-02,충청남도,1
2020-03,강원도,1
2020-03,경기도,2
2020-03,서울특별시,4
2020-04,경기도,2
2020-04,경상남도,2
2020-04,서울특별시,5
2020-04,세종특별자치시,1
2020-04,인천광역시,1
2020-05,강원도,1
2020-05,경기도,2
2020-05,경상남도,1
2020-05,서울특별시,10
2020-05,전라북도,1
2020-05,충청남도,2
2020-06,경기도,6
2020-06,대구광역시,1
2020-06,서울특별시,89
2020-06,인천광역시,2
2020-06,충청북도,2
2020-07,강원도,1
2020-07,경기도,5
2020-07,대구광역시,1
2020-07,대전광역시,1
2020-07,서울특별시,5
2020-07,인천광역시,1
2020-07,전라남도,1
2020-07,전라북도,1
2020-07,충청북도,1
2020-08,경기도,1
2020-08,경상남도,1
2020-08,대구광역시,1
2020-08,서울특별시,6
2020-08,인천광역시,1
2020-08,전라북도,1
2020-09,경기도,3
2020-09,경상북도,1
2020-09,대전광역시,2
2020-09,부산광역시,1
2020-09,서울특별시,6
2020-10,경기도,2
2020-10,경상남도,1
2020-10,광주광역시,2
2020-10,서울특별시,87
2020-10,전라남도,1
2020-10,전라북도,1
2020-11,서울특별시,12
2020-11,울산광역시,1
2020-11,충청북도,2
2020-12,경기도,2
2020-12,서울특별시,4
2020-12,인천광역시,1
2020-12,충청북도,1
2021-01,경기도,5
2021-01,대구광역시,1
2021-01,서울특별시,1
2021-01,충청남도,1
2021-02,광주광역시,1
2021-02,서울특별시,2
2021-02,충청남도,1
2021-02,충청북도,1
2021-03,경기도,7
2021-03,광주광역시,1
2021-03,대구광역시,2
2021-03,서울특별시,45
2021-03,충청남도,1
2021-04,경기도,1
2021-04,경상북도,1
2021-04,대전광역시,1
2021-04,서울특별시,1
2021-05,대전광역시,1
2021-05,서울특별시,2
2021-05,울산광역시,1
2021-06,경기도,6
2021-06,대구광역시,1
2021-06,서울특별시,5
2021-06,전라남도,1
2021-07,강원도,1
2021-07,경기도,3
2021-07,서울특별시,33
2021-07,인천광역시,1
2021-08,경기도,4
2021-08,대구광역시,2
2021-08,서울특별시,3
2021-08,인천광역시,1
2021-09,경기도,2
2021-09,경상남도,1
2021-09,대구광역시,1
2021-09,대전광역시,1
2021-09,서울특별시,3
2021-09,전라남도,1
2021-10,경기도,1
2021-10,서울특별시,89
2021-10,충청북도,1
2021-11,강원도,1
2021-11,경기도,2
2021-11,경상남도,1
2021-11,서울특별시,3
2021-11,인천광역시,2
2021-12,서울특별시,2
2022-01,강원도,11
2022-01,경기도,72
2022-01,부산광역시,84
2022-01,서울특별시,251
2022-01,인천광역시,84
2022-02,경기도,127
2022-02,경상북도,100
2022-02,대전광역시,79
2022-02,서울특별시,326
2022-02,인천광역시,40
2022-02,전라남도,100
2022-02,충청남도,1
2022-03,경기도,87
2022-03,대구광역시,36
2022-03,대전광역시,1
2022-03,서울특별시,182
2022-04,경기도,294
2022-04,광주광역시,84
2022-04,서울특별시,407
2022-04,인천광역시,34
2022-05,경기도,72
2022-05,경상북도,35
2022-05,광주광역시,84
2022-05,대구광역시,43
2022-05,대전광역시,112
2022-05,부산광역시,84
2022-05,서울특별시,134
2022-05,충청남도,132
2022-06,경기도,128
2022-06,경상북도,100
2022-06,서울특별시,112
2022-06,세종특별자치시,84
2022-06,인천광역시,78
2022-06,전라북도,100
2022-06,충청남도,40
2022-07,경기도,84
2022-07,경상남도,100
2022-07,대전광역시,198
2022-07,부산광역시,100
2022-07,서울특별시,203
2022-07,울산광역시,36
2022-07,전라남도,185
2022-07,충청북도,84
2022-08,경기도,83
2022-08,경상북도,72
2022-08,대구광역시,172
2022-08,서울특별시,215
2022-08,울산광역시,36
2022-08,충청남도,1
2022-09,경기도,89
2022-09,경상남도,84
2022-09,광주광역시,16
2022-09,서울특별시,108
2022-09,전라남도,35
2022-10,경기도,100
2022-10,경상북도,72
2022-10,광주광역시,30
2022-10,대구광역시,84
2022-10,부산광역시,68
2022-10,서울특별시,146
2022-10,울산광역시,11
2022-10,전라남도,35
2022-11,경기도,157
2022-11,경상북도,100
2022-11,광주광역시,30
2022-11,서울특별시,150
2022-11,충청남도,156
2022-12,경기도,72
2022-12,울산광역시,78
2023-01,경기도,100
2023-01,대구광역시,85
2023-01,서울특별시,84
2023-02,부산광역시,40
2023-02,서울특별시,115
2023-03,경기도,11
2023-03,광주광역시,85
2023-04,경기도,11
2023-04,경상북도,30
2023-04,서울특별시,144
2023-05,경기도,72
2023-05,경상북도,49
2023-05,인천광역시,11
2023-05,충청남도,42
2023-06,경기도,172
2023-06,서울특별시,197
2023-07,경기도,269
2023-08,경기도,101
2023-08,서울특별시,125
2023-09,경기도,11
2023-09,부산광역시,31
2023-10,서울특별시,78
2023-11,경기도,40
2023-11,부산광역시,85
2023-12,경상북도,84
2023-12,전라북도,35
2023-12,충청남도,85
