년도,월,업종,전망지수
2023,01,기초재,110
2023,01,식품,97.6
2023,01,음료 및 기호식품,107.4
2023,01,제약 및 의료,106.1
2023,01,화장품 및 보건용품,100
2023,01,출판,100
2023,01,패션,100
2023,01,산업기기,116.7
2023,01,정밀기기 및 사무기기,100
2023,01,가정용 전기전자,100
2023,01,컴퓨터 및 정보통신,97.1
2023,01,수송기기,112.5
2023,01,가정용품,103
2023,01,화학공업,100
2023,01,"건설, 건재 및 부동산",93.5
2023,01,유통,100
2023,01,"금융, 보험 및 증권",102.5
2023,01,서비스,101.6
2023,01,관공서 및 단체,101.2
2023,01,교육 및 복지후생,120
2023,01,그룹 및 기업광고,90.9
2023,02,기초재,100
2023,02,식품,97.9
2023,02,음료 및 기호식품,91.7
2023,02,제약 및 의료,100
2023,02,화장품 및 보건용품,100
2023,02,출판,105.9
2023,02,패션,100
2023,02,산업기기,85
2023,02,정밀기기 및 사무기기,100
2023,02,가정용 전기전자,100
2023,02,컴퓨터 및 정보통신,100
2023,02,수송기기,100
2023,02,가정용품,103.2
2023,02,화학공업,100
2023,02,"건설, 건재 및 부동산",100
2023,02,유통,100
2023,02,"금융, 보험 및 증권",102.5
2023,02,서비스,103.3
2023,02,관공서 및 단체,105.1
2023,02,교육 및 복지후생,102
2023,02,그룹 및 기업광고,120
2023,03,기초재,100
2023,03,식품,107.1
2023,03,음료 및 기호식품,107.7
2023,03,제약 및 의료,105.9
2023,03,화장품 및 보건용품,107.4
2023,03,출판,100
2023,03,패션,100
2023,03,산업기기,100
2023,03,정밀기기 및 사무기기,100
2023,03,가정용 전기전자,100
2023,03,컴퓨터 및 정보통신,106.3
2023,03,수송기기,100
2023,03,가정용품,109.7
2023,03,화학공업,100
2023,03,"건설, 건재 및 부동산",100
2023,03,유통,100
2023,03,"금융, 보험 및 증권",107.5
2023,03,서비스,100
2023,03,관공서 및 단체,109.3
2023,03,교육 및 복지후생,95.9
2023,03,그룹 및 기업광고,109.1
2023,04,기초재,105
2023,04,식품,92.9
2023,04,음료 및 기호식품,120.7
2023,04,제약 및 의료,100
2023,04,화장품 및 보건용품,105.6
2023,04,출판,100
2023,04,패션,100
2023,04,산업기기,100
2023,04,정밀기기 및 사무기기,100
2023,04,가정용 전기전자,100
2023,04,컴퓨터 및 정보통신,106.3
2023,04,수송기기,104.2
2023,04,가정용품,100
2023,04,화학공업,100
2023,04,"건설, 건재 및 부동산",107.7
2023,04,유통,100
2023,04,"금융, 보험 및 증권",102.6
2023,04,서비스,102.8
2023,04,관공서 및 단체,100
2023,04,교육 및 복지후생,92.6
2023,04,그룹 및 기업광고,90
2023,05,기초재,100
2023,05,식품,96.7
2023,05,음료 및 기호식품,104.3
2023,05,제약 및 의료,96.3
2023,05,화장품 및 보건용품,106.5
2023,05,출판,100
2023,05,패션,100
2023,05,산업기기,100
2023,05,정밀기기 및 사무기기,106.7
2023,05,가정용 전기전자,100
2023,05,컴퓨터 및 정보통신,104.8
2023,05,수송기기,109.1
2023,05,가정용품,103.4
2023,05,화학공업,109.1
2023,05,"건설, 건재 및 부동산",100
2023,05,유통,100
2023,05,"금융, 보험 및 증권",102.4
2023,05,서비스,100
2023,05,관공서 및 단체,103.2
2023,05,교육 및 복지후생,100
2023,05,그룹 및 기업광고,110
2023,06,기초재,95
2023,06,식품,96.1
2023,06,음료 및 기호식품,110
2023,06,제약 및 의료,100
2023,06,화장품 및 보건용품,97.1
2023,06,출판,104
2023,06,패션,100
2023,06,산업기기,100
2023,06,정밀기기 및 사무기기,100
2023,06,가정용 전기전자,100
2023,06,컴퓨터 및 정보통신,103.2
2023,06,수송기기,94.7
2023,06,가정용품,96.2
2023,06,화학공업,100
2023,06,"건설, 건재 및 부동산",100
2023,06,유통,100
2023,06,"금융, 보험 및 증권",102.5
2023,06,서비스,101.9
2023,06,관공서 및 단체,98.1
2023,06,교육 및 복지후생,103.7
2023,06,그룹 및 기업광고,100
2023,07,기초재,105
2023,07,식품,102
2023,07,음료 및 기호식품,92.9
2023,07,제약 및 의료,94.6
2023,07,화장품 및 보건용품,100
2023,07,출판,100
2023,07,패션,90.9
2023,07,산업기기,100
2023,07,정밀기기 및 사무기기,100
2023,07,가정용 전기전자,100
2023,07,컴퓨터 및 정보통신,100
2023,07,수송기기,95
2023,07,가정용품,100
2023,07,화학공업,110
2023,07,"건설, 건재 및 부동산",100
2023,07,유통,100
2023,07,"금융, 보험 및 증권",97.6
2023,07,서비스,104.5
2023,07,관공서 및 단체,100
2023,07,교육 및 복지후생,107.1
2023,07,그룹 및 기업광고,90.9
2023,08,기초재,100
2023,08,식품,96.6
2023,08,음료 및 기호식품,92.3
2023,08,제약 및 의료,100
2023,08,화장품 및 보건용품,103.2
2023,08,출판,100
2023,08,패션,100
2023,08,산업기기,100
2023,08,정밀기기 및 사무기기,107.1
2023,08,가정용 전기전자,100
2023,08,컴퓨터 및 정보통신,103.1
2023,08,수송기기,100
2023,08,가정용품,96.3
2023,08,화학공업,100
2023,08,"건설, 건재 및 부동산",96
2023,08,유통,100
2023,08,"금융, 보험 및 증권",97.4
2023,08,서비스,95.7
2023,08,관공서 및 단체,101.8
2023,08,교육 및 복지후생,115.4
2023,08,그룹 및 기업광고,100
2023,09,기초재,100
2023,09,식품,106.5
2023,09,음료 및 기호식품,100
2023,09,제약 및 의료,112.5
2023,09,화장품 및 보건용품,112.1
2023,09,출판,100
2023,09,패션,115.4
2023,09,산업기기,100
2023,09,정밀기기 및 사무기기,100
2023,09,가정용 전기전자,100
2023,09,컴퓨터 및 정보통신,103.1
2023,09,수송기기,105
2023,09,가정용품,107.4
2023,09,화학공업,100
2023,09,"건설, 건재 및 부동산",96
2023,09,유통,103.3
2023,09,"금융, 보험 및 증권",100
2023,09,서비스,102.3
2023,09,관공서 및 단체,100
2023,09,교육 및 복지후생,110.3
2023,09,그룹 및 기업광고,110
2023,10,기초재,100
2023,10,식품,100
2023,10,음료 및 기호식품,92.9
2023,10,제약 및 의료,97.4
2023,10,화장품 및 보건용품,100
2023,10,출판,100
2023,10,패션,100
2023,10,산업기기,100
2023,10,정밀기기 및 사무기기,100
2023,10,가정용 전기전자,100
2023,10,컴퓨터 및 정보통신,103.1
2023,10,수송기기,100
2023,10,가정용품,103.7
2023,10,화학공업,100
2023,10,"건설, 건재 및 부동산",104.3
2023,10,유통,100
2023,10,"금융, 보험 및 증권",100
2023,10,서비스,102.2
2023,10,관공서 및 단체,101.9
2023,10,교육 및 복지후생,100
2023,10,그룹 및 기업광고,90.9
2023,11,기초재,105
2023,11,식품,102.2
2023,11,음료 및 기호식품,100
2023,11,제약 및 의료,100
2023,11,화장품 및 보건용품,97
2023,11,출판,104.8
2023,11,패션,100
2023,11,산업기기,100
2023,11,정밀기기 및 사무기기,100
2023,11,가정용 전기전자,100
2023,11,컴퓨터 및 정보통신,103.2
2023,11,수송기기,100
2023,11,가정용품,100
2023,11,화학공업,100
2023,11,"건설, 건재 및 부동산",91.7
2023,11,유통,100
2023,11,"금융, 보험 및 증권",100
2023,11,서비스,97.8
2023,11,관공서 및 단체,100
2023,11,교육 및 복지후생,110.7
2023,11,그룹 및 기업광고,100
2023,12,기초재,100
2023,12,식품,96
2023,12,음료 및 기호식품,100
2023,12,제약 및 의료,97.2
2023,12,화장품 및 보건용품,106.3
2023,12,출판,100
2023,12,패션,90.9
2023,12,산업기기,100
2023,12,정밀기기 및 사무기기,100
2023,12,가정용 전기전자,100
2023,12,컴퓨터 및 정보통신,103.1
2023,12,수송기기,100
2023,12,가정용품,92
2023,12,화학공업,100
2023,12,"건설, 건재 및 부동산",100
2023,12,유통,103
2023,12,"금융, 보험 및 증권",100
2023,12,서비스,100
2023,12,관공서 및 단체,94.8
2023,12,교육 및 복지후생,106.5
2023,12,그룹 및 기업광고,100
2024,01,기초재,100
2024,01,식품,98.1
2024,01,음료 및 기호식품,100
2024,01,제약 및 의료,100
2024,01,화장품 및 보건용품,100
2024,01,출판,100
2024,01,패션,91.7
2024,01,산업기기,90
2024,01,정밀기기 및 사무기기,107.7
2024,01,가정용 전기전자,100
2024,01,컴퓨터 및 정보통신,100
2024,01,수송기기,100
2024,01,가정용품,95.8
2024,01,화학공업,100
2024,01,"건설, 건재 및 부동산",100
2024,01,유통,103.1
2024,01,"금융, 보험 및 증권",105
2024,01,서비스,101.9
2024,01,관공서 및 단체,98.4
2024,01,교육 및 복지후생,106.9
2024,01,그룹 및 기업광고,90.9
2024,02,기초재,100
2024,02,식품,103.6
2024,02,음료 및 기호식품,95.8
2024,02,제약 및 의료,102.9
2024,02,화장품 및 보건용품,100
2024,02,출판,90
2024,02,패션,100
2024,02,산업기기,100
2024,02,정밀기기 및 사무기기,92.9
2024,02,가정용 전기전자,100
2024,02,컴퓨터 및 정보통신,106.7
2024,02,수송기기,104.8
2024,02,가정용품,104
2024,02,화학공업,90.9
2024,02,"건설, 건재 및 부동산",100
2024,02,유통,100
2024,02,"금융, 보험 및 증권",100
2024,02,서비스,110.9
2024,02,관공서 및 단체,111.1
2024,02,교육 및 복지후생,100
2024,02,그룹 및 기업광고,110
2024,03,기초재,100
2024,03,식품,98.2
2024,03,음료 및 기호식품,111.5
2024,03,제약 및 의료,102.9
2024,03,화장품 및 보건용품,106.5
2024,03,출판,95.5
2024,03,패션,108.3
2024,03,산업기기,100
2024,03,정밀기기 및 사무기기,100
2024,03,가정용 전기전자,100
2024,03,컴퓨터 및 정보통신,100
2024,03,수송기기,100
2024,03,가정용품,107.7
2024,03,화학공업,100
2024,03,"건설, 건재 및 부동산",108.3
2024,03,유통,103.2
2024,03,"금융, 보험 및 증권",102.4
2024,03,서비스,100
2024,03,관공서 및 단체,96.7
2024,03,교육 및 복지후생,100
2024,03,그룹 및 기업광고,110
2024,04,기초재,100
2024,04,식품,104.7
2024,04,음료 및 기호식품,125
2024,04,제약 및 의료,113.8
2024,04,화장품 및 보건용품,100
2024,04,출판,110
2024,04,패션,100
2024,04,산업기기,100
2024,04,정밀기기 및 사무기기,100
2024,04,가정용 전기전자,106.7
2024,04,컴퓨터 및 정보통신,100
2024,04,수송기기,94.1
2024,04,가정용품,100
2024,04,화학공업,100
2024,04,"건설, 건재 및 부동산",94.1
2024,04,유통,103.3
2024,04,"금융, 보험 및 증권",100
2024,04,서비스,101.6
2024,04,관공서 및 단체,103.4
2024,04,교육 및 복지후생,100
2024,04,그룹 및 기업광고,100
2024,05,기초재,100
2024,05,식품,108.1
2024,05,음료 및 기호식품,125
2024,05,제약 및 의료,100
2024,05,화장품 및 보건용품,100
2024,05,출판,100
2024,05,패션,96.9
2024,05,산업기기,100
2024,05,정밀기기 및 사무기기,100
2024,05,가정용 전기전자,100
2024,05,컴퓨터 및 정보통신,100
2024,05,수송기기,93.8
2024,05,가정용품,96.3
2024,05,화학공업,100
2024,05,"건설, 건재 및 부동산",100
2024,05,유통,103.7
2024,05,"금융, 보험 및 증권",102.9
2024,05,서비스,96.9
2024,05,관공서 및 단체,97.4
2024,05,교육 및 복지후생,105.9
2024,05,그룹 및 기업광고,100
2024,06,기초재,100
2024,06,식품,103.5
2024,06,음료 및 기호식품,122.2
2024,06,제약 및 의료,96.2
2024,06,화장품 및 보건용품,100
2024,06,출판,100
2024,06,패션,97
2024,06,산업기기,100
2024,06,정밀기기 및 사무기기,100
2024,06,가정용 전기전자,100
2024,06,컴퓨터 및 정보통신,100
2024,06,수송기기,100
2024,06,가정용품,96.2
2024,06,화학공업,100
2024,06,"건설, 건재 및 부동산",100
2024,06,유통,100
2024,06,"금융, 보험 및 증권",100
2024,06,서비스,100
2024,06,관공서 및 단체,102.6
2024,06,교육 및 복지후생,111.1
2024,06,그룹 및 기업광고,100
2024,07,기초재,100
2024,07,식품,101.8
2024,07,음료 및 기호식품,116.7
2024,07,제약 및 의료,96
2024,07,화장품 및 보건용품,100
2024,07,출판,104.5
2024,07,패션,100
2024,07,산업기기,100
2024,07,정밀기기 및 사무기기,100
2024,07,가정용 전기전자,100
2024,07,컴퓨터 및 정보통신,95.8
2024,07,수송기기,100
2024,07,가정용품,100
2024,07,화학공업,100
2024,07,"건설, 건재 및 부동산",100
2024,07,유통,103.3
2024,07,"금융, 보험 및 증권",100
2024,07,서비스,108.2
2024,07,관공서 및 단체,98.8
2024,07,교육 및 복지후생,100
2024,07,그룹 및 기업광고,90.9
2024,08,기초재,100
2024,08,식품,100
2024,08,음료 및 기호식품,100
2024,08,제약 및 의료,92
2024,08,화장품 및 보건용품,100
2024,08,출판,100
2024,08,패션,102.9
2024,08,산업기기,100
2024,08,정밀기기 및 사무기기,109.1
2024,08,가정용 전기전자,100
2024,08,컴퓨터 및 정보통신,100
2024,08,수송기기,106.3
2024,08,가정용품,100
2024,08,화학공업,100
2024,08,"건설, 건재 및 부동산",105.3
2024,08,유통,100
2024,08,"금융, 보험 및 증권",100
2024,08,서비스,100
2024,08,관공서 및 단체,100
2024,08,교육 및 복지후생,118.8
2024,08,그룹 및 기업광고,100
