지원년도,접수번호,지원매체,지역,제작 건수,제작 초수,제작비(원)
2019,2019010009,TV,부산,2,15,86000000
2019,2019010012,TV,경기,2,"15,30",100000000
2019,2019010018,TV,서울,1,15,60000000
2019,2019010021,TV,경기,2,"15,30",210000000
2019,2019010028,TV,경기,1,15,100000000
2019,2019010029,TV,서울,3,15,506878500
2019,2019010036,TV,경기,1,15,209250000
2019,2019010037,TV,경기,3,"15,20,30",112000000
2019,2019010039,TV,서울,3,"15,20,30",140000000
2019,2019010042,TV,강원,1,15,101630000
2019,2019010043,TV,경기,4,"15,20,30",100000000
2019,2019010049,TV,경기,2,"15,30",50000000
2019,2019010057,TV,인천,5,"15,20",132000000
2019,2019010058,TV,광주,1,15,85000000
2019,2019010063,TV,서울,4,"15,30",100000000
2019,2019010069,TV,서울,2,"15,30",110000000
2019,2019010071,TV,충북,3,"15,20,30",100060000
2019,2019010074,TV,서울,1,20,100000000
2019,2019010075,TV,전남,1,15,105000000
2019,2019010076,TV,서울,6,15,168500000
2019,2019010077,TV,경기,1,60,50000000
2019,2019010088,TV,서울,2,"15,30",100000000
2019,2019010092,TV,경기,1,20,65000000
2019,2019010101,TV,경기,5,15,45000000
2019,2019010107,TV,전남,1,15,100000000
2019,2019020003,TV,대전,3,"15,20,30",252604000
2019,2019020005,TV,대전,2,"15,30",187052244
2019,2019020012,TV,서울,2,"15,30",118400000
2019,2019020018,TV,경남,2,"15,30",179722000
2019,2019020026,TV,서울,3,"15,20,30",70000000
2019,2019020047,TV,서울,2,20,103242000
2019,2019020049,TV,서울,1,15,255095825
2019,2019020054,TV,경기,3,"15,30",103624077
2019,2019020055,TV,전남,3,"15,20,30",100000000
2019,2019020059,TV,서울,2,15,110000000
2019,2019020060,TV,부산,1,15,85000000
2019,2019020075,TV,서울,1,15,175000000
2019,2019020077,TV,서울,1,15,112516500
2019,2019020078,TV,서울,2,"15,30",142000000
2019,2019020080,TV,경기,2,"15,30",115800000
2019,2019020082,TV,서울,1,15,100000000
2019,2019020083,TV,서울,1,15,191720000
2019,2019020092,TV,서울,2,"15,30",221000000
2019,2019010005,RADIO,서울,1,20,5000000
2019,2019010006,RADIO,서울,1,20,5050000
2019,2019010007,RADIO,서울,2,20,5200000
2019,2019010013,RADIO,인천,1,20,5500000
2019,2019010014,RADIO,경기,2,20,5000000
2019,2019010017,RADIO,대구,1,20,4800000
2019,2019010019,RADIO,서울,1,20,6000000
2019,2019010020,RADIO,경기,2,20,3790000
2019,2019010035,RADIO,경기,1,20,3300000
2019,2019010040,RADIO,서울,1,20,5000000
2019,2019010044,RADIO,충북,1,20,7000000
2019,2019010048,RADIO,부산,1,20,1100000
2019,2019010050,RADIO,대구,1,20,5000000
2019,2019010051,RADIO,서울,1,20,4700000
2019,2019010053,RADIO,경기,1,20,9600000
2019,2019010054,RADIO,서울,1,20,4750000
2019,2019010059,RADIO,경기,1,20,4900000
2019,2019010060,RADIO,전북,1,20,2900000
2019,2019010062,RADIO,경기,1,20,7000000
2019,2019010064,RADIO,경기,1,20,5000000
2019,2019010087,RADIO,서울,1,20,5000000
2019,2019010103,RADIO,부산,1,20,5000000
2019,2019010113,RADIO,서울,1,20,5000000
2019,2019020017,RADIO,서울,1,20,3200000
2019,2019020023,RADIO,서울,1,20,6000000
2019,2019020031,RADIO,서울,1,20,4800000
2019,2019020041,RADIO,서울,2,20,4900000
2019,2019020042,RADIO,경기,2,15,6900000
2019,2019020053,RADIO,경기,1,20,3400000
2019,2019020067,RADIO,경기,2,20,4600000
2019,2019020088,RADIO,서울,1,20,2100000
2019,2019020089,RADIO,전북,1,20,3700000
2020,202010002,TV,경기,2,20,90000000
2020,202010004,TV,서울,2,15,128500000
2020,202010006,TV,전북,3,"15,20,30",90000000
2020,202010017,TV,서울,1,15,90910000
2020,202010018,TV,경기,2,"15,30",227272727
2020,202010023,TV,강원,1,15,90000000
2020,202010024,TV,서울,4,"15,30",76851817
2020,202010029,TV,서울,2,"15,30",90000000
2020,202010031,TV,서울,1,15,283750000
2020,202010033,TV,서울,1,15,165000000
2020,202010039,TV,서울,3,15,1880500000
2020,202010047,TV,서울,2,"15,20",90000000
2020,202010048,TV,서울,1,30,80000000
2020,202010055,TV,서울,2,15,128038500
2020,202010057,TV,서울,1,15,65000000
2020,202010059,TV,서울,2,"15,30",201876310
2020,202010061,TV,경기,3,"15,30",98000000
2020,202010067,TV,경기,1,30,60000000
2020,202010073,TV,충남,1,15,90000000
2020,202010078,TV,서울,1,15,82560000
2020,202010081,TV,경기,3,"15,20,30",72252000
2020,202010082,TV,서울,2,"15,30",90950000
2020,202010089,TV,서울,4,"15,20",90000000
2020,202010092,TV,경기,1,15,100000000
2020,202010095,TV,인천,2,"15,30",90000000
2020,202010099,TV,경기,2,"15,30",90000000
2020,202010104,TV,경기,2,15,77272730
2020,202010106,TV,서울,2,15,100000000
2020,202010109,TV,경기,1,15,150000000
2020,202010115,TV,서울,1,30,80000000
2020,202010116,TV,서울,5,"15,30",156838500
2020,2020020013,TV,충남,2,"15,30",167883609
2020,2020020014,TV,서울,1,20,120000000
2020,2020020016,TV,서울,3,30,230000000
2020,2020020021,TV,서울,2,15,145036250
2020,202010009,RADIO,경기,1,20,4500000
2020,202010012,RADIO,서울,1,20,2600000
2020,202010014,RADIO,경기,1,20,1400000
2020,202010016,RADIO,경남,1,20,700000
2020,202010020,RADIO,충남,3,20,4400000
2020,202010022,RADIO,서울,1,20,3100000
2020,202010028,RADIO,전북,1,20,4300000
2020,202010030,RADIO,인천,1,20,2700000
2020,202010035,RADIO,전북,1,20,2450000
2020,202010038,RADIO,서울,1,20,4500000
2020,202010040,RADIO,경북,2,20,4500000
2020,202010041,RADIO,경북,1,20,1090909
2020,202010042,RADIO,충북,1,20,2600000
2020,202010044,RADIO,서울,2,20,6000000
2020,202010045,RADIO,경기,1,20,6500000
2020,202010049,RADIO,경기,2,20,4950000
2020,202010051,RADIO,서울,1,20,4350000
2020,202010052,RADIO,경기,1,20,3250000
2020,202010054,RADIO,서울,1,20,2550000
2020,202010058,RADIO,서울,1,20,1500000
2020,202010065,RADIO,경남,2,20,4500000
2020,202010068,RADIO,서울,1,20,4200000
2020,202010071,RADIO,경기,1,20,4500000
2020,202010072,RADIO,서울,1,20,4300000
2020,202010076,RADIO,경남,1,20,2300000
2020,202010088,RADIO,대전,1,20,4000000
2020,202010098,RADIO,서울,1,20,5500000
2020,202010100,RADIO,경기,2,20,3500000
2020,202010101,RADIO,경남,1,20,2800000
2020,202010105,RADIO,경기,1,20,6500000
2020,202010108,RADIO,강원,2,20,3900000
2020,202010110,RADIO,서울,2,20,3000000
2020,202010119,RADIO,서울,1,20,5000000
2021,2021010001,TV,대전,2,"15,30",45000000
2021,2021010002,TV,경기,3,"15,20,30",45000000
2021,2021010006,TV,경기,1,15,45000000
2021,2021010015,TV,경기,2,15,45000000
2021,2021010017,TV,서울,1,20,45000000
2021,2021010022,TV,서울,3,"15,30",45000000
2021,2021010033,TV,경기,1,15,45000000
2021,2021010036,TV,경남,1,15,20030000
2021,2021010040,TV,경기,4,"15,30",45000000
2021,2021010044,TV,서울,1,15,45000000
2021,2021010049,TV,경남,1,15,45000000
2021,2021010052,TV,서울,1,15,45000000
2021,2021010053,TV,경남,2,"15,30",45000000
2021,2021010061,TV,경북,3,"15,30,60",45000000
2021,2021010062,TV,대전,4,"15,30",45000000
2021,2021010069,TV,서울,1,15,45000000
2021,2021010072,TV,경기,3,"15,20,30",45000000
2021,2021010077,TV,서울,4,"15,30",45000000
2021,2021010078,TV,서울,2,"15,60",41700000
2021,2021010079,TV,경기,2,"15,30",40860000
2021,2021010081,TV,서울,2,15,45000000
2021,2021010083,TV,서울,2,"15,30",45000000
2021,2021010090,TV,서울,2,"15,30",45000000
2021,2021010093,TV,충남,2,"15,30",26750000
2021,2021010108,TV,경기,5,"15,30",45000000
2021,2021010123,TV,대전,2,"15,30",44600000
2021,2021010008,RADIO,광주,1,20,3000000
2021,2021010009,RADIO,서울,1,20,2520000
2021,2021010029,RADIO,서울,1,20,2940000
2021,2021010032,RADIO,부산,1,20,2100000
2021,2021010034,RADIO,인천,2,20,3000000
2021,2021010046,RADIO,경기,1,20,3000000
2021,2021010051,RADIO,전남,1,20,2450000
2021,2021010065,RADIO,경기,1,20,1820000
2021,2021010088,RADIO,경기,2,20,1680000
2021,2021010111,RADIO,강원,1,20,3000000
2021,2021010113,RADIO,경기,1,20,3000000
2021,2021010117,RADIO,서울,1,20,1190000
2021,2021010119,RADIO,경기,3,20,2940000
2021,2021010120,RADIO,서울,1,20,3000000
2021,2021020002,RADIO,인천,2,20,3000000
2021,2021020005,RADIO,경기,1,20,2520000
2021,2021020007,RADIO,경기,1,20,1540000
2021,2021020010,RADIO,경기,1,20,2100000
2022,2022200052,TV,대전,3,"15,30",90000000
2022,2022200105,TV,대전,2,"15,30",17272727
2022,2022200023,TV,대구,4,"15,30",90000000
2022,2022200026,TV,충북,3,"15,30,60",89775000
2022,2022200164,TV,경기,2,"15,30",90000000
2022,2022200087,TV,대전,1,30,90000000
2022,2022200146,TV,경남,2,"15,30",223000000
2022,2022200121,TV,울산,1,20,27500000
2022,2022200074,TV,경기,1,15,90000000
2022,2022200206,TV,인천,1,15,40000000
2022,2022200072,TV,경남,1,20,60000000
2022,2022200175,TV,전남,3,"15,20,30",90000000
2022,2022200030,TV,울산,2,"15,30",200082000
2022,2022200191,TV,경북,4,"15,30",90000000
2022,2022200106,TV,경북,2,15,90000000
2022,2022210024,TV,경기,1,30,135000000
2022,2022210036,TV,서울,2,"15,30",240000000
2022,2022210017,TV,충남,2,"15,30",90000000
2022,2022210013,TV,서울,6,"15,20,30",543120000
2022,2022210086,TV,경기,3,"15,30",90818182
2022,2022210020,TV,강원,2,20,70000000
2022,2022210014,TV,서울,2,"15,30",63636363
2022,2022210022,TV,서울,2,"15,30",93100000
2022,2022210067,TV,서울,2,"15,30",336900000
2022,2022200126,TV,경기,2,15,80000000
2022,2022200110,TV,전북,2,15,90000000
2022,2022200031,TV,서울,1,30,80000000
2022,2022200170,TV,경기,2,30,91270000
2022,2022200181,TV,서울,1,15,80000000
2022,2022210063,TV,경기,1,15,120000000
2022,2022210044,TV,경기,1,15,80322500
2022,2022210094,TV,부산,4,"15,20,30,60",90000000
2022,2022210010,TV,충남,4,"15,30",90000000
2022,2022210039,TV,서울,2,30,74000000
2022,2200010018,RADIO,광주,1,20,5000000
2022,2200010002,RADIO,광주,1,20,1800000
2022,2200010140,RADIO,부산,1,20,2500000
2022,2200010022,RADIO,서울,1,20,4300000
2022,2200010089,RADIO,전남,1,20,2300000
2022,2200010144,RADIO,서울,1,20,5000000
2022,2200010183,RADIO,전북,1,20,5000000
2022,2200010088,RADIO,경기,1,20,3500000
2022,2022210089,RADIO,부산,1,20,3890000
2022,2022210056,RADIO,경남,2,20,3000000
2022,2022210060,RADIO,인천,1,20,4500000
2022,2022210085,RADIO,경북,1,20,3000000
2022,2200010099,RADIO,경기,1,20,5000000
2022,2200010147,RADIO,서울,1,20,2300000
2022,2200010090,RADIO,서울,1,20,2300000
2022,2200010009,RADIO,울산,1,20,2727272
2022,2022210103,RADIO,울산,1,20,4000000
2023,2023200019,TV,경남,2,"15,20",90000000
2023,2023200026,TV,경북,2,"15,20",95000000
2023,2023200016,TV,경남,1,15,80000000
2023,2023200053,TV,경기,2,"15,30",90000000
2023,2023200108,TV,부산,3,"15,20",90000000
2023,2023200130,TV,경남,1,15,50000000
2023,2023200047,TV,경기,2,"15,30",76730000
2023,2023200088,TV,서울,1,15,289482250
2023,2023200049,TV,경남,1,15,90000000
2023,2023200020,TV,경기,2,"15,30",152000000
2023,2023200062,TV,경북,3,"15,20,30",90000000
2023,2023200128,TV,광주,3,"15,20,30",90000000
2023,2023200073,TV,경기,4,"15,30",90000000
2023,2023200059,TV,서울,2,"15,30",105200000
2023,2023200060,TV,인천,1,15,90000000
2023,2023200007,TV,서울,1,15,70000000
2023,2023200007,TV,경기,1,15,82000000
2023,2023210064,TV,경기,4,30,80000000
2023,2023210003,TV,광주,4,"15,20",90000000
2023,2023210030,TV,서울,2,15,418291250
2023,2023210073,TV,경북,1,15,142000000
2023,2023210043,TV,대전,1,15,110000000
2023,2023210013,TV,서울,1,15,137300000
2023,2023210059,TV,충남,3,"15,30,60",80000000
2023,2023210009,TV,경기,5,"15,20,30,60",90000000
2023,2023210016,TV,충남,1,15,47500000
2023,2023210058,TV,경기,3,15,90000000
2023,2023210065,TV,경기,2,15,85642800
2023,2023210075,TV,경기,1,15,150000000
2023,2023200008,TV,서울,1,30,40000000
2023,2023200021,RADIO,경기,1,20,4000000
2023,2023200058,RADIO,경기,1,20,2500000
2023,2023200068,RADIO,경남,1,20,2000000
2023,2023200109,RADIO,경기,1,20,3000000
2023,2023200107,RADIO,경기,1,20,4800000
2023,2023200041,RADIO,경기,1,20,2450000
2023,2023200127,RADIO,서울,1,20,4800000
2023,2023200127,RADIO,경기,1,20,2700000
2023,2023210011,RADIO,대전,1,20,2600000
2023,2023210019,RADIO,경북,1,20,2000000
2023,2023210035,RADIO,부산,1,20,3300000
2023,2023210026,RADIO,대구,1,20,4000000
2023,2023210036,RADIO,전북,1,20,4500000
2023,2023210050,RADIO,전북,1,20,4500000
2023,2023210053,RADIO,경기,1,20,1350000
2023,2023210028,RADIO,대전,1,20,2000000
2023,2023210022,RADIO,경기,1,20,4500000
2023,2023200122,RADIO,경북,1,20,3000000
2023,2023200095,RADIO,경기,1,20,4280000
2023,2023200097,RADIO,인천,1,20,4300000
2024,2024010040,TV,경북,1,40,82000000
2024,2024010043,TV,경기,4,"15,30",150000000
2024,2024010076,TV,대전,2,"15,30",90000000
2024,2024010086,TV,서울,2,"15,30",97000000
2024,2024010100,TV,서울,2,"15,30",220300000
2024,2024010082,TV,충남,1,20,70000000
2024,2024010044,TV,서울,4,"15,60",90000000
2024,2024010106,TV,경기,2,"15,30",86400000
2024,2024010013,TV,부산,1,20,75000000
2024,2024010006,TV,경기,2,"15,30",120000000
2024,2024010033,TV,대전,2,"15,30",76500000
2024,2024010032,TV,경기,3,15,90000000
2024,2024010073,TV,부산,2,15,90000000
2024,2024010093,TV,경기,2,"15,30",90900000
2024,2024010004,TV,경기,2,"15,30",90000000
2024,2024010021,TV,서울,2,"15,30",60000000
2024,2024010003,TV,경기,1,15,90112625
2024,2024010037,TV,경남,1,15,58181818
2024,2024010022,TV,경기,1,30,40000000
2024,2024010036,TV,인천,3,"60,75",90200000
2024,2024010053,TV,경기,3,"15,20,30",90000000
2024,2024010081,TV,강원,1,15,100000000
2024,2024010028,TV,경기,6,"15,20,30",90000000
2024,2024010029,TV,서울,2,"15,30",108000000
2024,2024010070,TV,서울,1,30,227965000
2024,2024010010,TV,서울,1,15,89000000
2024,2024020068,TV,충북,2,"15,20",70000000
2024,2024020048,TV,경기,1,15,90000000
2024,2024020047,TV,서울,1,15,90000000
2024,2024020025,TV,서울,2,"15,30",90000000
2024,2024020003,TV,경기,2,20,90000000
2024,2024020017,TV,서울,1,15,90000000
2024,2024020020,TV,경기,1,15,82000000
2024,2024020074,TV,서울,1,15,99800000
2024,2024020033,TV,서울,3,"15,30",70043500
2024,2024020061,TV,경기,2,"15,30",90000000
2024,2024020056,TV,경기,1,20,30000000
2024,2024020006,TV,광주,1,15,90000000
2024,2024020038,TV,서울,1,15,90000000
2024,2024020065,TV,강원,1,15,336400000
2024,2024020060,TV,부산,1,20,40000000
2024,2024020042,TV,서울,3,"15,20,30",80000000
2024,2024020050,TV,인천,1,30,80000000
2024,2024020012,TV,서울,1,15,90000000
2024,2024030015,TV,부산,3,"15,20,30",90000000
2024,2024030005,TV,충남,2,"15,30",94000000
2024,2023030004,TV,전북,2,"15,30",70000000
2024,2023030003,TV,제주,2,15,40000000
2024,2024030016,TV,전남,1,15,210000000
2024,2024010023,RADIO,경기,1,20,1100000
2024,2024010075,RADIO,충북,1,20,4500000
2024,2024010042,RADIO,경기,1,20,4300000
2024,2024010085,RADIO,경남,1,20,2600000
2024,2024010002,RADIO,경기,1,20,6000000
2024,2024010060,RADIO,서울,1,20,3300000
2024,2024010039,RADIO,충북,1,20,4900000
2024,2024010056,RADIO,인천,1,20,4300000
2024,2024010014,RADIO,전남,1,20,4300000
2024,2024010099,RADIO,경기,1,20,4300000
2024,2024020023,RADIO,대구,1,20,4300000
2024,2024020014,RADIO,충남,1,20,2500000
2024,2024020002,RADIO,경기,1,20,4300000
2024,2024020013,RADIO,광주,1,20,4500000
2024,2024020030,RADIO,인천,1,20,2200000
2024,2024020071,RADIO,서울,1,20,4545454
2024,2024020021,RADIO,서울,1,20,4300000
2024,2024020010,RADIO,경기,1,20,4300000
